username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MarkJDryden4;2017-09-25 01:37;1;0;"Just got home (00:30) @SkySports should have restrictions on which matches they can move to certain time slots. @The_FSF #AMF #NUFC #BRINEW";;@SkySports @The_FSF;#AMF #NUFC #BRINEW;"912098649286602752";https://twitter.com/MarkJDryden4/status/912098649286602752
WistfulCass;2017-09-24 23:45;0;0;"Great game, or at least great highlights: #BRINEW Always happy when Chris Hughton wins #motd2";;;#BRINEW #motd2;"912070629632901122";https://twitter.com/WistfulCass/status/912070629632901122
NewcastleToons;2017-09-24 23:30;1;1;"Highlights from today's match at Brighton. #NUFC #BRINEW https:// youtu.be/CeVdg2JGSsI";;;#NUFC #BRINEW;"912066722164699136";https://twitter.com/NewcastleToons/status/912066722164699136
WeLoveGoals_;2017-09-24 23:14;0;0;"Free Football Betting Tip! Bundesliga #BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga http:// welovegoals.com";;;#BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga;"912062602112585728";https://twitter.com/WeLoveGoals_/status/912062602112585728
jlow88;2017-09-24 22:57;0;0;"Surprised there hasn't been more made of Mbemba being thrown on the floor in the build up to the goal #NUFC #BRINEW";;;#NUFC #BRINEW;"912058541787066368";https://twitter.com/jlow88/status/912058541787066368
jlow88;2017-09-24 22:56;0;0;"Knew exactly what he was doing #NUFC #BRINEW #BHAFC https:// twitter.com/bendinnery/sta tus/911996238089900033 …";;;#NUFC #BRINEW #BHAFC;"912058163616247810";https://twitter.com/jlow88/status/912058163616247810
geesingh1;2017-09-24 22:31;0;0;"Shelvey and ritchie need to get freekick training from #coutinhio ASAP lol #nufc #liverpoolfc #lfc #BRINEW";;;#coutinhio #nufc #liverpoolfc #lfc #BRINEW;"912051923422990336";https://twitter.com/geesingh1/status/912051923422990336
TimesSport;2017-09-24 22:18;0;1;"Don't forget you can see full match highlights on @thetimes app now #BRINEW https:// twitter.com/TimesSport/sta tus/912006977265344513 …";;@thetimes;#BRINEW;"912048658266378241";https://twitter.com/TimesSport/status/912048658266378241
WeLoveGoals_;2017-09-24 22:14;0;0;"Free Football Betting Tip! We have them! #BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga http:// welovegoals.com";;;#BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga;"912047486495285249";https://twitter.com/WeLoveGoals_/status/912047486495285249
WeLoveGoals_;2017-09-24 21:14;0;0;"Free Football Betting Tip! Check it! #BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga http:// welovegoals.com";;;#BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga;"912032388317958145";https://twitter.com/WeLoveGoals_/status/912032388317958145
NatSportUAE;2017-09-24 21:09;0;0;"Newcastle beaten as Brighton's Hughton backs Hemed over stamping claims. http:// bit.ly/2xpvXKY #BRINEW pic.twitter.com/NtVpr5htaB";;;#BRINEW;"912031238310985730";https://twitter.com/NatSportUAE/status/912031238310985730
Maradonna_kebab;2017-09-24 20:24;1;1;"Hemed is class... really stamping his place in the premier league now #BRINEW #SuperSunday #bhafc";;;#BRINEW #SuperSunday #bhafc;"912020000843673600";https://twitter.com/Maradonna_kebab/status/912020000843673600
SemraBabadostu;2017-09-24 20:24;1;0;"#BRINEW";;;#BRINEW;"912019985953886208";https://twitter.com/SemraBabadostu/status/912019985953886208
WorldRenownedMC;2017-09-24 20:20;2;1;"For that save yesterday, @SMignolet deserves to get to a million tonight. Let's do this. #LFC #s1mon #EPL #BRINEW #UCL #UNGA #football https:// twitter.com/SMignolet/stat us/912014985110474752 …";;@SMignolet;#LFC #s1mon #EPL #BRINEW #UCL #UNGA #football;"912018903169212416";https://twitter.com/WorldRenownedMC/status/912018903169212416
PaulBurton_15;2017-09-24 20:17;0;0;"Huge win for Brighton, if they're to have any chance of staying up the need to win home games #BRINEW";;;#BRINEW;"912018186912043009";https://twitter.com/PaulBurton_15/status/912018186912043009
WeLoveGoals_;2017-09-24 20:14;0;0;"We Love Goals! #BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga http:// welovegoals.com";;;#BRINEW #B04HSV #AJAVIT #UTRPSV #SampMilan #PL #Bundesliga;"912017289817542657";https://twitter.com/WeLoveGoals_/status/912017289817542657
PosluLutfi;2017-09-24 20:11;1;0;"#BRINEW";;;#BRINEW;"912016699377045505";https://twitter.com/PosluLutfi/status/912016699377045505
CitizenFc;2017-09-24 20:03;0;2;"A great and deservedly win for Brighton. #BRINEW #PremierLeague Congratulations my friend @seagulls72";;@seagulls72;#BRINEW #PremierLeague;"912014549104168965";https://twitter.com/CitizenFc/status/912014549104168965
OffsideRulePod;2017-09-24 20:02;0;2;"FT: Brighton 1-0 Newcastle Tomer Hemed earns the Seagulls all 3 points as Chris Hughton gets his revenge over the Magpies #BRINEW pic.twitter.com/95Sr96oCEL";;;#BRINEW;"912014480753795073";https://twitter.com/OffsideRulePod/status/912014480753795073
NUFC_ThisMinute;2017-09-24 20:00;0;0;"Final Score Brighton 1 v Newcastle United 0 and, stats and commentary see http:// bit.ly/2xtnT9w #BRINEW #NUFC";;;#BRINEW #NUFC;"912013784532815878";https://twitter.com/NUFC_ThisMinute/status/912013784532815878
pbsportswriter;2017-09-24 19:58;1;1;"Rafa has a point about Bruno foul on Mbemba for Hemed goal. Replays do show a push #bhafc #nufc #BRINEW";;;#bhafc #nufc #BRINEW;"912013502629519360";https://twitter.com/pbsportswriter/status/912013502629519360
stulah;2017-09-24 19:33;0;0;"Incredible win for @OfficialBHA , from no stadium to Premier League wins in just 20 years! #Brighton #BRINEW";;@OfficialBHA;#Brighton #BRINEW;"912007147688529920";https://twitter.com/stulah/status/912007147688529920
unibet;2017-09-24 19:30;1;6;"Brighton's last top flight home clean sheet had been in a 1-0 victory against Coventry in April 1983 #BRINEW pic.twitter.com/U453z3zNSy";;;#BRINEW;"912006269195702272";https://twitter.com/unibet/status/912006269195702272
NotaPCoffice;2017-09-24 19:29;0;1;"Bitterly disappointed at Newcastle and he result today...FUCK!! #Newcastle #NUFC #BRINEW #awful #football #PremierLeague";;;#Newcastle #NUFC #BRINEW #awful #football #PremierLeague;"912006122936074243";https://twitter.com/NotaPCoffice/status/912006122936074243
BetVictor;2017-09-24 19:28;0;0;"#BRINEW was the #BVGoldenGoal match this week with 8 lucky punters scooping £6,250 each Here's how Twitter reacted http:// betvic.to/2xBOEuE pic.twitter.com/Uk8f2ekmjD";;;#BRINEW #BVGoldenGoal;"912005909328617472";https://twitter.com/BetVictor/status/912005909328617472
davepresents;2017-09-24 19:28;1;3;"@FA let's see if u've got the balls 2 retrospectively ban Hemed! Or is it coz it was ON an @nufc player + not BY 1 u'll not bother? #BRINEW pic.twitter.com/6DYc8MSJwg";;@FA @nufc;#BRINEW;"912005904987508736";https://twitter.com/davepresents/status/912005904987508736
