username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dlrbrts;2017-09-25 17:00;0;0;"Glad to see that the @youaretheref panel agree with Sean Dyche re: the diving incident from Saturday's match #BURHUD https://www. youtube.com/watch?v=s7McOF m7W0U …";;@youaretheref;#BURHUD;"912361121855803392";https://twitter.com/dlrbrts/status/912361121855803392
RobStewart_;2017-09-25 09:42;0;0;"Not the best of timing to have a rant #BURHUD https:// twitter.com/BBCR1/status/9 11641860594176000 …";;;#BURHUD;"912250962756165632";https://twitter.com/RobStewart_/status/912250962756165632
90MAAT_;2017-09-24 12:06;1;1;"REPORT: Burnley and Huddersfield settle for a point each. https:// 90maat.com/2017/09/24/bur nley-and-huddersfield-settle-for-a-point-each/ … #BURHUD #MatchReport #PremierLeague #90MAAT";;;#BURHUD #MatchReport #PremierLeague #90MAAT;"911924755380539392";https://twitter.com/90MAAT_/status/911924755380539392
ABPNumbers;2017-09-24 11:41;0;0;"This must be an early contender for most boring game of the season. Burnley and Huddersfield both struggling to create chances. #BURHUD pic.twitter.com/3biNTpBO6H";;;#BURHUD;"911918503179030529";https://twitter.com/ABPNumbers/status/911918503179030529
GledholtSykes;2017-09-24 10:25;11;28;"I may be in a minority, but I quite enjoyed it. #BURHUD #htafc #burnleyfc https:// htfcreports.com/2017/09/24/a-m ill-town-tale/ …";;;#BURHUD #htafc #burnleyfc;"911899435969507329";https://twitter.com/GledholtSykes/status/911899435969507329
notiziasportiva;2017-09-24 10:03;0;0;"#PL , 6^ G #WHUTOT 2-3 #EVEBOU 2-1 #SOUMUN 0-1 #MCICRY 5-0 #SWAWAT 1-2 #BURHUD 0-0 #STKCHE 0-4 #LEILIV 2-3 http:// bit.ly/2y1xZSk pic.twitter.com/wyX7VCsCeT";;;#PL #WHUTOT #EVEBOU #SOUMUN #MCICRY #SWAWAT #BURHUD #STKCHE #LEILIV;"911893956421718017";https://twitter.com/notiziasportiva/status/911893956421718017
SeanKeyes;2017-09-24 09:36;0;1;"Great to be back! #BURHUD #TwitterClarets pic.twitter.com/gt9LzLq8dh";;;#BURHUD #TwitterClarets;"911887129374023680";https://twitter.com/SeanKeyes/status/911887129374023680
DianaPitchers;2017-09-24 07:59;0;0;"Catching up ont football #BURHUD was a non-starter wasn't it? Love Sean Dyche - he's an all round good egg.";;;#BURHUD;"911862765958156290";https://twitter.com/DianaPitchers/status/911862765958156290
playerdb247;2017-09-24 07:56;0;0;"#BURHUD 0-0 FT -- First clean sheet for Nick Pope, who's covering for injured key goalie Tom Heaton http://www. playerdatabase247.com/?team=Burnley #FPL";;;#BURHUD #FPL;"911861960039419905";https://twitter.com/playerdb247/status/911861960039419905
scooke7;2017-09-24 07:54;0;0;"Watching @BurnleyOfficial AGAIN is like a hangover...worse the morning after the night before #motd #BURHUD #BurnleyFC";;@BurnleyOfficial;#motd #BURHUD #BurnleyFC;"911861310085910529";https://twitter.com/scooke7/status/911861310085910529
up_the_clarets;2017-09-24 07:18;0;1;"Fair play to @htafcdotcom they did to us what we do to others. But it's another point on the board. #BURHUD UTC pic.twitter.com/EoCeYSIDZD";;@htafcdotcom;#BURHUD;"911852244030672896";https://twitter.com/up_the_clarets/status/911852244030672896
bennymcslats;2017-09-24 01:27;0;0;"When @abcnews forgets your team even played last night #smallclubproblems #BURHUD 0-0 draw for the record. One to forget! pic.twitter.com/ta6ntOiyZX";;@abcnews;#smallclubproblems #BURHUD;"911763954157813760";https://twitter.com/bennymcslats/status/911763954157813760
jacob_pye;2017-09-23 22:58;0;0;"2 match ban for Van La Parra now then, for diving, under new fa rules?? #BURHUD #twitterclarets";;;#BURHUD #twitterclarets;"911726451040366594";https://twitter.com/jacob_pye/status/911726451040366594
putln2;2017-09-23 22:23;0;0;"Were out of the soul. #BURHUD";;;#BURHUD;"911717634680479745";https://twitter.com/putln2/status/911717634680479745
TheWorldGame;2017-09-23 21:53;1;3;"WATCH: 90 minutes once again for the @Socceroos playmaker #BURHUD #sbsfootball http:// theworldgame.sbs.com.au/article/2017/0 9/24/mooy-action-huddersfield-and-burnley-share-spoils …";;@Socceroos;#BURHUD #sbsfootball;"911710140809613312";https://twitter.com/TheWorldGame/status/911710140809613312
dlrbrts;2017-09-23 21:33;1;23;"In case you don't want to stay up for @BBCMOTD : Intro Wood header Pope save La Parra dive Belittling punditry #BURHUD";;@BBCMOTD;#BURHUD;"911705089206898689";https://twitter.com/dlrbrts/status/911705089206898689
RowanChris;2017-09-23 21:28;0;1;"One to forget. Didn’t lose #UTT #BURHUD #htafc Ahh time for Match Choice pic.twitter.com/3il1gRnTV4";;;#UTT #BURHUD #htafc;"911703813270179845";https://twitter.com/RowanChris/status/911703813270179845
PlasticHead55;2017-09-23 20:39;0;1;"MOTD are going off the air before #BURHUD and coming back on at 3am to show the highlight.";;;#BURHUD;"911691555680997376";https://twitter.com/PlasticHead55/status/911691555680997376
ArturJim;2017-09-23 20:12;0;0;"#BURHUD via @premierleague https://www. premierleague.com/match/22394";;@premierleague;#BURHUD;"911684756542078976";https://twitter.com/ArturJim/status/911684756542078976
naval_fluff;2017-09-23 19:54;0;0;"What makes the thought of Burnley v Huddersfield in the Premier League even less exciting? The knowledge that it finished 0-0. #BURHUD";;;#BURHUD;"911680173795430405";https://twitter.com/naval_fluff/status/911680173795430405
kooratenes;2017-09-23 19:54;0;1;"#PremierLeague #PL Burnley 0 : 0 Huddersfield Town #BURHUD";;;#PremierLeague #PL #BURHUD;"911680148776407042";https://twitter.com/kooratenes/status/911680148776407042
fpltipsandstats;2017-09-23 19:35;0;0;"BONUS POINTS ADDED: #FPL #burnleyfc #htafc #BURHUD Burnley 0 - 0 Huddersfield  Schindler - 3 Zanka, Ward - 2";;;#FPL #burnleyfc #htafc #BURHUD;"911675389818187776";https://twitter.com/fpltipsandstats/status/911675389818187776
graemebaumber;2017-09-23 19:00;0;0;"Why do I always see these banker 0-0’s after they’ve finished? #BURHUD";;;#BURHUD;"911666612096454657";https://twitter.com/graemebaumber/status/911666612096454657
