username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Everton4Life;2017-09-23 23:55;1;1;"Finally we did something right #COYB #EVEBOU @EFCjojo @efcretweets @MollyOHarrison";;@EFCjojo @efcretweets @MollyOHarrison;#COYB #EVEBOU;"911740883120168960";https://twitter.com/Everton4Life/status/911740883120168960
RBMersey;2017-09-23 23:30;0;0;"Don't forget to grade the Everton players after the win today. #EFC #EVEBOU https:// royalbluemersey.sbnation.com/2017/9/23/1635 4450/man-of-the-match-player-grades-poll-everton-vs-bournemouth-niasse-koeman-rooney …";;;#EFC #EVEBOU;"911734427847397376";https://twitter.com/RBMersey/status/911734427847397376
clipgator;2017-09-23 23:29;0;0;"Ronald Koeman’s Toffees pip Cherries – Everton 2-1 Bournemouth #EVEBOU https:// goo.gl/fb/4tiHXs #news #NLG";;;#EVEBOU #news #NLG;"911734336239611905";https://twitter.com/clipgator/status/911734336239611905
OAPreece;2017-09-23 23:20;0;1;"Think Eddie howe should bring Boruc back in to start , begovic has been well past it for seasons gone #MOTD #EVEBOU";;;#MOTD #EVEBOU;"911731918764429312";https://twitter.com/OAPreece/status/911731918764429312
RBMersey;2017-09-23 23:00;0;2;"Koeman happy with Niasse's performance after his brace seals the three points. #EFC #EVEBOU https:// royalbluemersey.sbnation.com/2017/9/23/1635 2400/koeman-comments-niasse-goals-winner-everton-bournemouth …";;;#EFC #EVEBOU;"911726881384419329";https://twitter.com/RBMersey/status/911726881384419329
SoccerForecast1;2017-09-23 22:52;2;1;"Todays correct forecasts #soccer #football #足球 #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli pic.twitter.com/0K531KskeN";;;#soccer #football # #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli;"911725073337339904";https://twitter.com/SoccerForecast1/status/911725073337339904
Ladidairo;2017-09-23 22:51;0;0;"Rooney is just generally angry these days... #EVEBOU #MOTD";;;#EVEBOU #MOTD;"911724695397044225";https://twitter.com/Ladidairo/status/911724695397044225
eljameimatteo;2017-09-23 22:44;0;0;"Very niasse said #EVEBOU";;;#EVEBOU;"911723072926908416";https://twitter.com/eljameimatteo/status/911723072926908416
clomers;2017-09-23 22:42;0;0;"@BBCMOTD blurred @WayneRooney swearing to ref after already showing it with no blur during the highlights #EVEBOU";;@BBCMOTD @WayneRooney;#EVEBOU;"911722429910802432";https://twitter.com/clomers/status/911722429910802432
EthanDalton96;2017-09-23 22:42;0;1;"Made up for Oumar Niasse after the year he's had. The hero we need, not the hero we deserve. #COYB #EVEBOU";;;#COYB #EVEBOU;"911722416157679617";https://twitter.com/EthanDalton96/status/911722416157679617
Sony_Oke;2017-09-23 22:40;0;0;"The commentary on tonight's #MOTD has been suspect: How can you finish like a train? A train slows down to 10mph at it's last stop! #EVEBOU";;;#MOTD #EVEBOU;"911722033393864705";https://twitter.com/Sony_Oke/status/911722033393864705
geesingh1;2017-09-23 22:40;1;1;"Oh shit ; this guys scarier than #IT ffs #everton #efc #PremierLeague #evebou #HorrorMovies pic.twitter.com/m8QJsNqss5";;;#IT #everton #efc #PremierLeague #evebou #HorrorMovies;"911722030202056709";https://twitter.com/geesingh1/status/911722030202056709
beeojay;2017-09-23 22:40;2;29;"He was a pain Niasse today !! #EVEBOU";;;#EVEBOU;"911721899549499392";https://twitter.com/beeojay/status/911721899549499392
toffeesontop;2017-09-23 22:34;0;1;"Time to back the only true Centre Forward in your squad! Not sure what took you so long! #niasse #EVEBOU #everton";;;#niasse #EVEBOU #everton;"911720563810250752";https://twitter.com/toffeesontop/status/911720563810250752
Robbeezley;2017-09-23 22:33;0;2;"#EVEBOU ref is an absolute joke if an elbow isn't a pen and a red I dno what is tbh! @BBCMOTD";;@BBCMOTD;#EVEBOU;"911720317416026112";https://twitter.com/Robbeezley/status/911720317416026112
TheWorldGame;2017-09-23 22:30;0;1;"WATCH: A tough-fought match but finally some relief for @Everton #EVEBOU #sbsfootball http:// theworldgame.sbs.com.au/article/2017/0 9/24/niasse-double-relieves-pressure-everton-boss-koeman …";;@Everton;#EVEBOU #sbsfootball;"911719394954194945";https://twitter.com/TheWorldGame/status/911719394954194945
RBMersey;2017-09-23 22:30;0;0;"Did you grade the Everton players today? #EFC #EVEBOU https:// goo.gl/forms/Cl3nBn4c AioERm3u1 …";;;#EFC #EVEBOU;"911719328638291968";https://twitter.com/RBMersey/status/911719328638291968
AfricaFootDaily;2017-09-23 21:27;8;9;"Oumar Niasse remplace Wayne Rooney et inscrit un doublé pour Everton qui renverse Bournemouth 2-1 en Premier League. #EVEBOU #PL pic.twitter.com/DX4u6frL37";;;#EVEBOU #PL;"911703680809885702";https://twitter.com/AfricaFootDaily/status/911703680809885702
stu4evablue;2017-09-23 21:16;0;0;"Back under your stone #EVEBOU #Everton pic.twitter.com/pXMi1iZ0tG";;;#EVEBOU #Everton;"911700882869379073";https://twitter.com/stu4evablue/status/911700882869379073
RBMersey;2017-09-23 20:43;0;9;"Koeman very complimentary of Niasse, happier with second half performance. #EFC #EVEBOU https:// royalbluemersey.sbnation.com/2017/9/23/1635 2400/koeman-comments-niasse-goals-winner-everton-bournemouth?utm_campaign=royalbluemersey.sbnation&utm_content=chorus&utm_medium=social&utm_source=twitter …";;;#EFC #EVEBOU;"911692622900625408";https://twitter.com/RBMersey/status/911692622900625408
d_smithe;2017-09-23 20:42;0;0;"Kids, don’t do it #Rooney #waynerooney #EVEBOU #motd #PremierLeague pic.twitter.com/8Og4NcRkPm";;;#Rooney #waynerooney #EVEBOU #motd #PremierLeague;"911692181311754240";https://twitter.com/d_smithe/status/911692181311754240
semihsagr;2017-09-23 20:33;0;0;"#EVEBOU pic.twitter.com/5vDQnzEPCN";;;#EVEBOU;"911689963657363457";https://twitter.com/semihsagr/status/911689963657363457
i_shaikh82;2017-09-23 20:27;1;1;"Ironic that the player that #koeman tried to force out of the club could have just kept him in the job. #Niasse #EVEBOU";;;#koeman #Niasse #EVEBOU;"911688441682898945";https://twitter.com/i_shaikh82/status/911688441682898945
ArturJim;2017-09-23 20:15;0;0;"#EVEBOU via @premierleague https://www. premierleague.com/match/22395";;@premierleague;#EVEBOU;"911685540361015296";https://twitter.com/ArturJim/status/911685540361015296
nicks_mufc;2017-09-23 19:59;1;0;"Both from Senegal #PL #EVEBOU";;;#PL #EVEBOU;"911681441725014017";https://twitter.com/nicks_mufc/status/911681441725014017
kooratenes;2017-09-23 19:52;0;1;"#PremierLeague #PL Everton 2 : 1 Bournemouth #EVEBOU";;;#PremierLeague #PL #EVEBOU;"911679668553682944";https://twitter.com/kooratenes/status/911679668553682944
SFR_Sport;2017-09-23 19:51;3;11;"C'était dur mais Everton respire en s'imposant face à Bournemouth ! Le résumé vidéo ici http:// po.st/yu1b3s #EVEBOU #PLZone #PL pic.twitter.com/fH8MbweNGY";;;#EVEBOU #PLZone #PL;"911679537573920768";https://twitter.com/SFR_Sport/status/911679537573920768
subinkm;2017-09-23 19:47;0;0;"I do want to thank you #RobertoMartínez !! #EVEBOU";;;#RobertoMart #EVEBOU;"911678441170358273";https://twitter.com/subinkm/status/911678441170358273
fpltipsandstats;2017-09-23 19:35;0;0;"BONUS POINTS ADDED: #FPL #efc #afcb #EVEBOU Everton  2 - 1 Bournemouth Niasse - 3 Daniels - 2 King - 1";;;#FPL #efc #afcb #EVEBOU;"911675458554494976";https://twitter.com/fpltipsandstats/status/911675458554494976
Sure;2017-09-23 19:34;14;72;"Onward & upwards Koeman: "You have key moments during the season & this will give everyone a boost." #NeverMoreSure #EVEBOU pic.twitter.com/lVX01zI1YA";;;#NeverMoreSure #EVEBOU;"911675243638468608";https://twitter.com/Sure/status/911675243638468608
chivers1878;2017-09-23 19:32;0;0;"#efcmatchdays #evebou what a #result off the #bench and yet again gives us a #2ndwins in a row… https://www. instagram.com/p/BZZTbgAAy3u/";;;#efcmatchdays #evebou #result #bench #2ndwins;"911674540245311494";https://twitter.com/chivers1878/status/911674540245311494
ynfafootball;2017-09-23 19:17;213;558;"Oumar Niasse with 2 for Everton,Cult hero now #EFCBOU #efc #evebou @ALANMYERSMEDIA @1kevincampbell @fizzer18 @AmandaHolden @NevilleSouthall pic.twitter.com/0lKhODdUt9";;@ALANMYERSMEDIA @1kevincampbell @fizzer18 @AmandaHolden @NevilleSouthall;#EFCBOU #efc #evebou;"911670990073208834";https://twitter.com/ynfafootball/status/911670990073208834
Abelsouthall;2017-09-23 19:13;0;1;"Any chance Schneiderlin can give up his locker for Niasse? #EVEBOU";;;#EVEBOU;"911669791928340480";https://twitter.com/Abelsouthall/status/911669791928340480
Abelsouthall;2017-09-23 19:11;0;1;"Clear to see, poor selection salvaged by some extra Scouse presence & Oumar. Sig & Rooney can’t play in the same side. End of #EVEBOU #EFC";;;#EVEBOU #EFC;"911669490248798209";https://twitter.com/Abelsouthall/status/911669490248798209
JulieHob1878;2017-09-23 19:07;0;2;"2nd homemade cake of the season. Only bake when we win. #EFC #EVEBOU pic.twitter.com/FDI48Qn6ma";;;#EFC #EVEBOU;"911668264966770689";https://twitter.com/JulieHob1878/status/911668264966770689
PostToPostSport;2017-09-23 19:02;0;0;"This weeks football pod #STKCHE #SOUMUN #MCICRY #LEILIV #WHUTOT #EVEBOU #SWAWAT https://www. mixcloud.com/Post_to_Post/f ootball-23-9-17/ …";;;#STKCHE #SOUMUN #MCICRY #LEILIV #WHUTOT #EVEBOU #SWAWAT;"911667033695285250";https://twitter.com/PostToPostSport/status/911667033695285250
