username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
4D71e;2017-09-23 23:55;0;0;"Good relationships are not just about the good times you sha http:// mohamn478.m.nomor1.com/mohamn478/meng hidupkan-patriotisme.htm … #LEILIV";;;#LEILIV;"911740827692523521";https://twitter.com/4D71e/status/911740827692523521
walk_era;2017-09-23 23:49;0;0;"@robertsummersc1 even themselves out?? That was the most one sided referee performances TBH. #LEILIV no mention of a clear lovren pen.";;@robertsummersc1;#LEILIV;"911739411682988037";https://twitter.com/walk_era/status/911739411682988037
hasali158;2017-09-23 23:43;0;0;"#LEILIV Kekuatan terbesar yang mampu mengalahkan stress adalah kemampuan memilih pikiran yang tepat. Anda akan men #DXPLOR .net #alihas367";;;#LEILIV #DXPLOR #alihas367;"911737709290328064";https://twitter.com/hasali158/status/911737709290328064
thealbatross65;2017-09-23 23:40;0;0;"Soo close..was it bollocks. #LEILIV #ShakeyOut";;;#LEILIV #ShakeyOut;"911737183249289219";https://twitter.com/thealbatross65/status/911737183249289219
DamayantiDonna;2017-09-23 23:40;0;0;"Saya percaya, esok sudah tidak boleh mengubah apa yang berlaku hari ini, tetapi hari ini masih boleh meng #NOMOR1 .com #donnadam68 #LEILIV";;;#NOMOR1 #donnadam68 #LEILIV;"911736996866883584";https://twitter.com/DamayantiDonna/status/911736996866883584
M353NU;2017-09-23 23:40;0;0;"Real friendship is a promise made in the heart. Silent. Unwritten. Unbreakable by distance. #NetworkNumberOne .com #mesensag87 #LEILIV";;;#NetworkNumberOne #mesensag87 #LEILIV;"911736986439782400";https://twitter.com/M353NU/status/911736986439782400
ThinkFactory_;2017-09-23 23:36;0;0;"NEW VIDEOS! #ThePunisher #Season1 #TVShow #TrailerReview #LEILIV 2-3 Round Up Show! #Disney … https://www. instagram.com/p/BZZvb3PhvTN/";;;#ThePunisher #Season1 #TVShow #TrailerReview #LEILIV #Disney;"911736116180525056";https://twitter.com/ThinkFactory_/status/911736116180525056
saunderslfc94;2017-09-23 23:31;0;0;"Good win in the end today lads ! Great to see @Phil_Coutinho doing what he does best! And @22mosalah is looking amazing ! #YNWA #LEILIV";;@Phil_Coutinho @22mosalah;#YNWA #LEILIV;"911734917360504832";https://twitter.com/saunderslfc94/status/911734917360504832
tylerclouti;2017-09-23 23:31;0;1;"No doubt.... #YNWA #LEILIV https:// twitter.com/NBCSportsSocce r/status/911652082616344576 …";;;#YNWA #LEILIV;"911734686094970880";https://twitter.com/tylerclouti/status/911734686094970880
ThinkFactory_;2017-09-23 23:30;0;0;"https:// youtu.be/qxpS1WXxvHU WATCH #LEILIV 2-3 Round Up Show! #MOTD Simon Mignolet Coutinho Subscribe, Like & Follow! #YouTube /ThinkFactory_";;;#LEILIV #MOTD #YouTube;"911734476371316737";https://twitter.com/ThinkFactory_/status/911734476371316737
DubbleR_Slight;2017-09-23 23:30;0;0;"#iHeartFestival #Decision17 #MUFC #SOUMUN #JoolsHolland #AFLTigersGiants #FedalUtd #STKCHE #LEILIV #COY #TAMUvsARK #LaverCup #FridayFeeling pic.twitter.com/Iw1oX0KSyp";;;#iHeartFestival #Decision17 #MUFC #SOUMUN #JoolsHolland #AFLTigersGiants #FedalUtd #STKCHE #LEILIV #COY #TAMUvsARK #LaverCup #FridayFeeling;"911734441193742336";https://twitter.com/DubbleR_Slight/status/911734441193742336
clipgator;2017-09-23 23:29;0;0;"Reds take all 3 points from Foxes – Leicester 2-3 Liverpool #LEILIV https:// goo.gl/fb/BGjV22 #news #NLG";;;#LEILIV #news #NLG;"911734340836560896";https://twitter.com/clipgator/status/911734340836560896
colinjlewis78;2017-09-23 23:24;2;1;"An eventful day for Jamie Vardy A dive A goal A penalty miss A yellow card #LFC #LCFC @LFC @LCFC #Liverpool #LEILIV #LeicesterCity";;@LFC @LCFC;#LFC #LCFC #Liverpool #LEILIV #LeicesterCity;"911733150274981888";https://twitter.com/colinjlewis78/status/911733150274981888
dkhkshacho;2017-09-23 23:23;1;1;"#ヘボット #tkgoki #相互 #BNK48 #HappyKeyDay #LEILIV #拡散希望 #リツイートで私を有名にしてください #リツイートお願いします #フォロワーさんのフォロワーさんと繋がりたい";;;# #tkgoki # #BNK48 #HappyKeyDay #LEILIV # # # #;"911732842186530816";https://twitter.com/dkhkshacho/status/911732842186530816
phakiamaksi;2017-09-23 23:23;0;0;"Back to win road , #henderson #captain #lfc #liverpool #leiliv #lcfc #salah #coutinho … https://www. instagram.com/p/BZZt4r5B6W6/";;;#henderson #captain #lfc #liverpool #leiliv #lcfc #salah #coutinho;"911732692995137536";https://twitter.com/phakiamaksi/status/911732692995137536
MrChrisBuckle;2017-09-23 23:19;0;0;"3 Points is all that matters!! #Relief #LIVLEI #YNWA #LFC #PremierLeague #LEILIV #LEI";;;#Relief #LIVLEI #YNWA #LFC #PremierLeague #LEILIV #LEI;"911731775327625216";https://twitter.com/MrChrisBuckle/status/911731775327625216
FtblPhotos;2017-09-23 23:17;0;0;"Leicester City vs. Liverpool (5:30pm) - #LEILIV [23.9.17]:";;;#LEILIV;"911731237965967366";https://twitter.com/FtblPhotos/status/911731237965967366
richycribb;2017-09-23 23:13;0;1;"Brilliant game from the captain @JHenderson topped with a goal too #LEILIV";;@JHenderson;#LEILIV;"911730172805627904";https://twitter.com/richycribb/status/911730172805627904
LFCYNWA35;2017-09-23 23:09;0;0;"Je viens de voir le résumé de Liverpool.. Quel match de Mignolet encore une fois.. Coutinho magique sur coup franc.. #LEILIV #LFC #YNWA";;;#LEILIV #LFC #YNWA;"911729346695585794";https://twitter.com/LFCYNWA35/status/911729346695585794
JADWALHKLPI_com;2017-09-23 23:02;0;0;"WAKTU PENUH Leicester City 2-3 Liverpool #LEILIV Gol: Okazaki & Vardy - Salah, Coutinho, Henderson. Liverpool s… http:// ift.tt/2xwGyCZ";;;#LEILIV;"911727599235280896";https://twitter.com/JADWALHKLPI_com/status/911727599235280896
EPL_ArabicNews;2017-09-23 23:02;0;0;"Craig Shakespeare says Liverpool's third goal proved too much for #lcfc on Saturday night... #LeiLiv https:// twitter.com/LCFC/status/91 1726888820678656/video/1 …";;;#lcfc #LeiLiv;"911727486383337473";https://twitter.com/EPL_ArabicNews/status/911727486383337473
LIVEHDMATCH;2017-09-23 23:02;5;7;"All Goals & Highlights http:// goals4k.blogspot.com App https:// goo.gl/1mWCBE #SOUMUN #STOCHE #alavesmadrid #LeiLiv #GironaBarça #JuveTorino pic.twitter.com/63eyy8NoWj";;;#SOUMUN #STOCHE #alavesmadrid #LeiLiv #GironaBar #JuveTorino;"911727375708229632";https://twitter.com/LIVEHDMATCH/status/911727375708229632
innnoGIANTS24;2017-09-23 22:56;0;1;"おかえりコウチーニョ #leiliv pic.twitter.com/FMkhGXDG92";;;#leiliv;"911726103378534400";https://twitter.com/innnoGIANTS24/status/911726103378534400
auggieballs;2017-09-23 22:56;0;0;"Harsh on Matip/Lovren. One goal on the ref, the other a tad lucky. Otherwise I see where you're going! #lfc #LEILIV";;;#lfc #LEILIV;"911725897077727233";https://twitter.com/auggieballs/status/911725897077727233
MikeAtkns;2017-09-23 22:53;0;0;"Love that Mignolet stood up to save Vardy's penalty #LEILIV";;;#LEILIV;"911725286508695552";https://twitter.com/MikeAtkns/status/911725286508695552
PlainLazyMehedi;2017-09-23 22:50;0;0;"A win but STILL defensive errors #LEILIV #LFC";;;#LEILIV #LFC;"911724580255027201";https://twitter.com/PlainLazyMehedi/status/911724580255027201
beINSPORTS_NZ;2017-09-23 22:49;0;1;"REPORT: @Phil_Coutinho is BACK for @LFC and helped the Reds win a thriller against @LCFC !! #EPL #LEILIV http://www. beinsports.com/nz/premier-lea gue/news/classy-coutinho-helps-to-halt-reds-slump-1/659840 …";;@Phil_Coutinho @LFC @LCFC;#EPL #LEILIV;"911724272350937088";https://twitter.com/beINSPORTS_NZ/status/911724272350937088
Indiv1dum;2017-09-23 22:47;0;1;"Боже, почему я такой известный #LEILIV #famous #supreme #bvbbmg";;;#LEILIV #famous #supreme #bvbbmg;"911723758838325248";https://twitter.com/Indiv1dum/status/911723758838325248
IdinPikanto;2017-09-23 22:45;0;0;"Sometimes you have to stop worrying, wondering, and d http:// idinpi527.m.networknumberone.com/idinpi527/keun ggulan-utama-anda.htm … #LEILIV";;;#LEILIV;"911723228304830464";https://twitter.com/IdinPikanto/status/911723228304830464
