username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1607WestEgg;2017-09-23 21:30;0;1;"The weekend's first black away kit. @CPFC Not even needed. More to follow, I'm sure. #mancry @BBCMOTD @awaykitwatch";;@CPFC @BBCMOTD @awaykitwatch;#mancry;"911704394546208768";https://twitter.com/1607WestEgg/status/911704394546208768
PromixBlue;2017-09-23 17:42;2;0;"AGUERO - 1 Goal, 1 assist. SANE - 1 Goal, 2 assists. STERLING - 2 Goals. SILVA - 2 Assists. #MANCRY #KeyPerformers pic.twitter.com/HdWgv4cr0A";;;#MANCRY #KeyPerformers;"911646965615783938";https://twitter.com/PromixBlue/status/911646965615783938
LBEBPL;2017-09-23 17:19;0;0;"Les ligaments du genou de Benteke sont probablement touchés, il passera un scanner demain. #BPL #ManCry";;;#BPL #ManCry;"911641067157680128";https://twitter.com/LBEBPL/status/911641067157680128
Lord_Furiza020;2017-09-23 16:59;0;1;"#mancry You fans already got rid off Frank de Boer. And things have improved in the last 2 weeks Why not start the #fireroyhodgson";;;#mancry #fireroyhodgson;"911636068864348167";https://twitter.com/Lord_Furiza020/status/911636068864348167
19ta61;2017-09-23 16:28;0;0;"Gaat een stuk beter met @CPFC sinds de Boer weg is #mancry";;@CPFC;#mancry;"911628312530898945";https://twitter.com/19ta61/status/911628312530898945
playin_away;2017-09-23 16:24;2;4;"#CrystalPalace trying to score a goal this season! #mancry #palace #fail #funny pic.twitter.com/LfPfCmyFGi";;;#CrystalPalace #mancry #palace #fail #funny;"911627369022189570";https://twitter.com/playin_away/status/911627369022189570
LBEBPL;2017-09-23 16:10;0;1;"Benteke s'est blessé cet après-midi, plus d'infos à suivre sur la gravité de cette blessure. #BPL #ManCry";;;#BPL #ManCry;"911623818405384193";https://twitter.com/LBEBPL/status/911623818405384193
Ashaolufemi;2017-09-23 16:01;0;0;"@ManCity . FIVE STAR. CITY. #Mancry";;@ManCity;#Mancry;"911621630807420928";https://twitter.com/Ashaolufemi/status/911621630807420928
Ashaolufemi;2017-09-23 16:00;0;0;"@ManCity Another five today from the boys. Great display,great Goals. #MANCRY";;@ManCity;#MANCRY;"911621349348642818";https://twitter.com/Ashaolufemi/status/911621349348642818
Jordibeeksma;2017-09-23 15:54;0;0;"#Hodsgonout #mancry";;;#Hodsgonout #mancry;"911619902020124672";https://twitter.com/Jordibeeksma/status/911619902020124672
2substitutes;2017-09-23 15:54;0;0;"City cannot stop scoring and Palace can't score. Breathtaking football. At this rate, City will break the PL goals record easily #MANCRY";;;#MANCRY;"911619783396904960";https://twitter.com/2substitutes/status/911619783396904960
Thesoccerforums;2017-09-23 15:53;0;0;"ManCity crash CrystalPalace 5-0 as Sane keeps scoring. #MANCRY #EPL";;;#MANCRY #EPL;"911619603897384961";https://twitter.com/Thesoccerforums/status/911619603897384961
mbretton;2017-09-23 15:49;0;1;"I should have left the hotel room and gone by the pool at half time... #CPFC #ManCry pic.twitter.com/7iwuxTxzyH";;;#CPFC #ManCry;"911618427764330497";https://twitter.com/mbretton/status/911618427764330497
T_appletart;2017-09-23 15:31;0;2;"And that is why we should have signed a striker... @CEO4TAG #cpfc #mancry";;@CEO4TAG;#cpfc #mancry;"911614064434012162";https://twitter.com/T_appletart/status/911614064434012162
Nicarugian;2017-09-23 15:26;0;0;"God, this is tough to watch.... #mancry";;;#mancry;"911612792788185093";https://twitter.com/Nicarugian/status/911612792788185093
fluent_sport;2017-09-23 15:20;0;0;"#MANCRY ManCity vs Crystal Preview - Premier League 2017/18 https://www. fluentsport.com/2017/09/21/man city-vs-crystal-preview-premier-league-201718/ …";;;#MANCRY;"911611342821392385";https://twitter.com/fluent_sport/status/911611342821392385
Hasperhale812;2017-09-23 15:07;0;1;"#PREMIERXESPN Vamos mi Man City #mancry";;;#PREMIERXESPN #mancry;"911607880029270017";https://twitter.com/Hasperhale812/status/911607880029270017
Bboy_Izilla;2017-09-23 14:46;0;0;"We knew this day would come. #mancry";;;#mancry;"911602556647985152";https://twitter.com/Bboy_Izilla/status/911602556647985152
JCPaulZote;2017-09-23 13:56;0;1;"We are now live from the #EtihadStadium Manchester City #MANCRY #cmonCITY";;;#EtihadStadium #MANCRY #cmonCITY;"911589979641573376";https://twitter.com/JCPaulZote/status/911589979641573376
clare_eagle;2017-09-23 13:10;0;1;"Here we go again... hoping for a better result than last time we were here #MANCRY pic.twitter.com/Lfh0CQswim";;;#MANCRY;"911578604601004033";https://twitter.com/clare_eagle/status/911578604601004033
voetbalzonenl;2017-09-23 13:02;0;0;"XI @ManCity : Ederson, Walker, Stones, Otamendi, Mendy, Fernandinho, De Bruyne, D. Silva, Sterling, Sane, Aguero #mancry";;@ManCity;#mancry;"911576608934375424";https://twitter.com/voetbalzonenl/status/911576608934375424
tonyfletcher;2017-09-23 11:42;0;0;"So, #CPFC fans, do I tape #MANCRY match in hope of impossible, or just tape "Goals Zone" to scroll through the inevitable?";;;#CPFC #MANCRY;"911556421317271552";https://twitter.com/tonyfletcher/status/911556421317271552
SlyMc67;2017-09-23 11:40;0;1;"#cpfc #MCFC #mancry come on palace!! pic.twitter.com/mWrUpFqvO6 – bei The Printworks";;;#cpfc #MCFC #mancry;"911555937726599169";https://twitter.com/SlyMc67/status/911555937726599169
