username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IbirogbaAbioye;2017-09-24 01:50;0;1;"Sterling be stealing goals like Sterling bank be stealing money #MCICRY";;;#MCICRY;"911739465156235264";https://twitter.com/IbirogbaAbioye/status/911739465156235264
seancardo;2017-09-24 01:00;0;0;"Pep Guardiola gave instructions to #ManCity 's ball boy to get the ball back in play quickly during #MCICRY .... http:// fb.me/9cdsf3jxm";;;#ManCity #MCICRY;"911726905564438528";https://twitter.com/seancardo/status/911726905564438528
seancardo;2017-09-24 01:00;0;0;"Pep Guardiola gave instructions to #ManCity 's ball boy to get the ball back in play quickly during #MCICRY . #MCFC #PL #seanknows pic.twitter.com/opRN12kD1s";;;#ManCity #MCICRY #MCFC #PL #seanknows;"911726876061831170";https://twitter.com/seancardo/status/911726876061831170
SoccerForecast1;2017-09-24 00:52;2;1;"Todays correct forecasts #soccer #football #足球 #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli pic.twitter.com/0K531KskeN";;;#soccer #football # #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli;"911725073337339904";https://twitter.com/SoccerForecast1/status/911725073337339904
andy_wedge;2017-09-24 00:25;0;1;"Roy Hodgson already planning what to do with his next stint of unemployment #MOTD #MCICRY #CrystalPalace #ManchesterCity pic.twitter.com/p1VRSPfwUc";;;#MOTD #MCICRY #CrystalPalace #ManchesterCity;"911718236240179202";https://twitter.com/andy_wedge/status/911718236240179202
JM539581;2017-09-24 00:15;0;0;"#crystalpalace has not been burned this badly since the real Crystal Palace burned down. #PremierLeague #MCICRY";;;#crystalpalace #PremierLeague #MCICRY;"911715622966452225";https://twitter.com/JM539581/status/911715622966452225
tjdeezdick;2017-09-23 23:55;0;0;"You know its an awful day if Delph scores a screamer against you! #MCICRY #MOTD";;;#MCICRY #MOTD;"911710535778959360";https://twitter.com/tjdeezdick/status/911710535778959360
GitcheGumme44;2017-09-23 23:50;0;0;"Danke @DAZN_DE jetzt 5 Spiele vom Tag aus der #BPL schauen. #SOUMUN #WHUTOT #MCICRY #STKCHE #LEILIV + #J1League #KOBKAW #DAZN";;@DAZN_DE;#BPL #SOUMUN #WHUTOT #MCICRY #STKCHE #LEILIV #J1League #KOBKAW #DAZN;"911709320311660544";https://twitter.com/GitcheGumme44/status/911709320311660544
voetblah;2017-09-23 23:50;0;0;"Oké, poenclub, maar dit @ManCity speelt voetbal om van te smullen, met #Sane als revelatie en @DeBruyneKev als briljante regisseur. #MCICRY";;@ManCity @DeBruyneKev;#Sane #MCICRY;"911709262342172678";https://twitter.com/voetblah/status/911709262342172678
mooki329;2017-09-23 23:47;0;0;"Good to see Sakho in a Bangkok line making a massive difference to City scoring 5 ay #LFC fans... #MCICRY";;;#LFC #MCICRY;"911708511431561216";https://twitter.com/mooki329/status/911708511431561216
TheWorldGame;2017-09-23 23:44;1;0;"WATCH: A next level performance by @ManCity over a struggling @CPFC #MCICRY http:// theworldgame.sbs.com.au/article/2017/0 9/24/manchester-city-demolish-struggling-palace-go-top …";;@ManCity @CPFC;#MCICRY;"911707963294810112";https://twitter.com/TheWorldGame/status/911707963294810112
onionbagstats;2017-09-23 23:42;0;0;"#CrystalPalace 's loss at #ManCity was the 10th time they have lost by at least 4 goals playing in the #PremierLeague . #cpfc #MCICRY #PL";;;#CrystalPalace #ManCity #PremierLeague #cpfc #MCICRY #PL;"911707257741684737";https://twitter.com/onionbagstats/status/911707257741684737
johanvanboven;2017-09-23 23:40;0;3;"Wat valt jullie op aan deze twee foto's? Allebei screenshots van motd-interviews na #MCICRY pic.twitter.com/CyTepI60bu";;;#MCICRY;"911706832749686785";https://twitter.com/johanvanboven/status/911706832749686785
ci_evo92;2017-09-23 23:39;0;0;"Watching MOTD and wow Palace are in BIG trouble - when even Delph is pinging them in the top bin, you're in trouble #MCFC #CPFC #MCICRY";;;#MCFC #CPFC #MCICRY;"911706553585192960";https://twitter.com/ci_evo92/status/911706553585192960
rtmonkeyboy;2017-09-23 23:38;0;0;"What the FUCK is #RoyHodgson talking about? Just rambling? #MCICRY #MOTD pic.twitter.com/RZWhwR5Mnq";;;#RoyHodgson #MCICRY #MOTD;"911706405249388544";https://twitter.com/rtmonkeyboy/status/911706405249388544
MansoorS8;2017-09-23 23:37;0;0;"So Sakho was our best defender? directly at fault for 2 and almost scored an OG #MCICRY enjoy the 5-0 woy";;;#MCICRY;"911706082401296384";https://twitter.com/MansoorS8/status/911706082401296384
KevonMiller85;2017-09-23 23:37;0;0;"Man City dicked Palace. Roy Hodgson looked clueless on the bench. #MCICRY #MOTD";;;#MCICRY #MOTD;"911706008640212998";https://twitter.com/KevonMiller85/status/911706008640212998
MoFarooq9;2017-09-23 23:36;0;0;"The forgotten man scores a screamer on his wrong foot. Fabian Delph! #motd #MCICRY #mcfc";;;#motd #MCICRY #mcfc;"911705880340701184";https://twitter.com/MoFarooq9/status/911705880340701184
Locky3;2017-09-23 23:36;0;0;"You know your bad when Delph is picking out the postage stamp from 20 yards #MCICRY";;;#MCICRY;"911705878285438977";https://twitter.com/Locky3/status/911705878285438977
L1amclark21;2017-09-23 23:36;0;0;"We are playing some beautiful football at the moment!! @ManCity #MCICRY #MOTD";;@ManCity;#MCICRY #MOTD;"911705856537972738";https://twitter.com/L1amclark21/status/911705856537972738
Sianystar88;2017-09-23 23:36;0;1;"Guardiola looks far too casually dressed to be on the touchline for my liking #MOTD #MCICRY";;;#MOTD #MCICRY;"911705806743195648";https://twitter.com/Sianystar88/status/911705806743195648
cadburysmeaow;2017-09-23 23:36;0;0;"You know its an awful day if Delph scores a screamer against you! #MCICRY #MOTD";;;#MCICRY #MOTD;"911705795724812290";https://twitter.com/cadburysmeaow/status/911705795724812290
