username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MacLeTiss;2017-09-23 22:48;0;2;"Just caught up with #souman game on #motd - no way reflecting the game, total dominance of 2nd half by #saintsfc ,best performance of season";;;#souman #motd #saintsfc;"911724025839325186";https://twitter.com/MacLeTiss/status/911724025839325186
geesingh1;2017-09-23 22:26;0;0;"Can someone at #mufc show #Lukaku how to hit the ball flush and not into the bloody ground ffs lol #souman";;;#mufc #Lukaku #souman;"911718404415016961";https://twitter.com/geesingh1/status/911718404415016961
joesaintwestend;2017-09-23 19:33;0;0;"Went to the #souman . #saintsfc unlucky but agree ManUtd won ugly . http:// c.newsnow.co.uk/A/903393782?-1 1205:798:0 …";;;#souman #saintsfc;"911674963794567169";https://twitter.com/joesaintwestend/status/911674963794567169
Ryanacko92;2017-09-23 19:04;1;1;"Police wanting cctv images to identify Man Utd fans seen singing the Lukaku song... What a fucking joke this is why I hate football #souman";;;#souman;"911667687536889856";https://twitter.com/Ryanacko92/status/911667687536889856
C_ManUnited;2017-09-23 16:46;2;6;"Young: That wasn't a #ManchesterUnited performance, but we dug deep, defended as a unit and took a tough 3 points”. #souman";;;#ManchesterUnited #souman;"911632920909172737";https://twitter.com/C_ManUnited/status/911632920909172737
OkolieJoseph;2017-09-23 16:28;0;0;"#Man utd played badly in 2nd half. It is kool 3 points anyway. #SouMan . The only blip being Mourinho's sending off for yelling @his players";;@his;#Man #SouMan;"911628434815832064";https://twitter.com/OkolieJoseph/status/911628434815832064
abu_patel;2017-09-23 16:23;0;3;"Good result for us. Could've easily been a draw. Nightmare journey due to M3 being closed off #souman #mufc pic.twitter.com/lxRdXeZ4XN";;;#souman #mufc;"911626983729242112";https://twitter.com/abu_patel/status/911626983729242112
Be4rdedEvan;2017-09-23 16:12;0;7;"The rock. Thank you DDG #SOUMAN #MUFC pic.twitter.com/c2f6Srdlc0";;;#SOUMAN #MUFC;"911624324104065024";https://twitter.com/Be4rdedEvan/status/911624324104065024
GatyHernop;2017-09-23 16:10;0;0;"100% a game last year we'd have drawn. Rashers was absolutely immense #SOUMAN";;;#SOUMAN;"911623834486415365";https://twitter.com/GatyHernop/status/911623834486415365
Shishirsharma7;2017-09-23 16:02;0;0;"If we play like today we aren't going to challenge #PremierLeague trophy #SOUMAN . It was a dreadful performance #MUFC";;;#PremierLeague #SOUMAN #MUFC;"911621835464175616";https://twitter.com/Shishirsharma7/status/911621835464175616
1978f8d2517146d;2017-09-23 16:02;0;1;"#souman no man of the match";;;#souman;"911621821329485825";https://twitter.com/1978f8d2517146d/status/911621821329485825
MrDamn_Swelle;2017-09-23 15:57;0;1;"Satisfied not happy #souman";;;#souman;"911620671079424006";https://twitter.com/MrDamn_Swelle/status/911620671079424006
Simplysheriff;2017-09-23 15:55;3;2;"I've never been more tensed watching #mufc play in a while, had my heart in my mouth #souman";;;#mufc #souman;"911620017342619648";https://twitter.com/Simplysheriff/status/911620017342619648
_Farels_;2017-09-23 15:55;0;0;"Encore une fois United gagne sans convaincre. Ça passe contre les petits, mais dans les gros matchs va falloir montrer autre chose #SOUMAN";;;#SOUMAN;"911619991912484868";https://twitter.com/_Farels_/status/911619991912484868
sporza_live;2017-09-23 15:54;0;1;". @RomeluLukaku9 is matchwinnaar bij Man.Utd met zijn 6e competitiegoal in 6 matchen http:// sporza.be/permalink/1.30 70594 … #souman pic.twitter.com/qdkIsF2gy4";;@RomeluLukaku9;#souman;"911619880151109632";https://twitter.com/sporza_live/status/911619880151109632
sporza;2017-09-23 15:54;0;18;". @RomeluLukaku9 is matchwinnaar bij Man.Utd met zijn 6e competitiegoal in 6 matchen http:// sporza.be/permalink/1.30 70594 … #souman pic.twitter.com/UYBRt4kVRJ";;@RomeluLukaku9;#souman;"911619880008474624";https://twitter.com/sporza/status/911619880008474624
Collen_Mpila;2017-09-23 15:54;0;0;"The scrapiest of wins today.but 3 points is 3 points. #MUFC #ManUtd #souman";;;#MUFC #ManUtd #souman;"911619862736367617";https://twitter.com/Collen_Mpila/status/911619862736367617
bestcanton7;2017-09-23 15:54;1;1;"Thank god that's over with only plus 3 points #winning ugly #SOUMAN #MUFC_FAMILY";;;#winning #SOUMAN #MUFC_FAMILY;"911619785049493504";https://twitter.com/bestcanton7/status/911619785049493504
Marvinan_jo;2017-09-23 15:53;0;0;"And its all over....wowwww..... #SOUMAN 0-1";;;#SOUMAN;"911619593696940033";https://twitter.com/Marvinan_jo/status/911619593696940033
Marvinan_jo;2017-09-23 15:53;0;0;"And its all over....wowwww..... #SOUMAN 0-5";;;#SOUMAN;"911619543457550337";https://twitter.com/Marvinan_jo/status/911619543457550337
Footballogue;2017-09-23 15:53;87;95;"[ #PL ] SOUTHAMPTON 0-1 MANCHESTER UNITED United s'impose dans la douleur face à une équipe de Southampton entreprenante. #SOUMAN pic.twitter.com/xWXozhBwxH";;;#PL #SOUMAN;"911619428504281088";https://twitter.com/Footballogue/status/911619428504281088
Mohamdinho;2017-09-23 15:52;0;0;"الحكم يطرد مورينهو #souman";;;#souman;"911619320207364098";https://twitter.com/Mohamdinho/status/911619320207364098
RealSbongza;2017-09-23 15:52;0;0;"Joh!! Morihno parking an aeroplane #souman";;;#souman;"911619215739752453";https://twitter.com/RealSbongza/status/911619215739752453
MAAXXiiEE;2017-09-23 15:49;0;0;"Where's the yellow ref ?? #souman";;;#souman;"911618550359523328";https://twitter.com/MAAXXiiEE/status/911618550359523328
papillon711;2017-09-23 15:43;1;1;"Worst game of the season. More than happy and lucky if we keep the 3 points today #SOUMAN 5 minutes to go";;;#SOUMAN;"911616956209467392";https://twitter.com/papillon711/status/911616956209467392
Collen_Mpila;2017-09-23 15:42;0;0;"Both Rashford and Martial are not yet 90 minites players. They need to keep subbing. #MUFC #ManUtd #souman";;;#MUFC #ManUtd #souman;"911616754744545281";https://twitter.com/Collen_Mpila/status/911616754744545281
fullback03;2017-09-23 15:37;0;3;"How have @SouthamptonFC not got something out of this? #souman";;@SouthamptonFC;#souman;"911615600354562048";https://twitter.com/fullback03/status/911615600354562048
adebayoadekunzy;2017-09-23 15:37;0;0;"If these people shud score, it's José's fault ...I dunno why martial is on the bench and you ll bring on smalling #SOUMAN";;;#SOUMAN;"911615591374626817";https://twitter.com/adebayoadekunzy/status/911615591374626817
Collen_Mpila;2017-09-23 15:33;0;0;"Huh? Smalling in for Mkhitaryan with such an uncomfortable leas? I'm not sure #souman";;;#souman;"911614606778490880";https://twitter.com/Collen_Mpila/status/911614606778490880
Collen_Mpila;2017-09-23 15:31;0;0;"We will need Pogba back for the KO stages of the #UCL , our mid is just not the same without him. #MUFC #ManUtd #souman";;;#UCL #MUFC #ManUtd #souman;"911614059639967744";https://twitter.com/Collen_Mpila/status/911614059639967744
baymath;2017-09-23 15:29;0;0;"United are so out of sorts the last half hour. Southampton’s been putting on the pressure! #SOUMAN";;;#SOUMAN;"911613496265252864";https://twitter.com/baymath/status/911613496265252864
spank_man10;2017-09-23 15:29;0;0;"The referee has been awful today. #MUFC #souman";;;#MUFC #souman;"911613454678667265";https://twitter.com/spank_man10/status/911613454678667265
baymath;2017-09-23 15:26;0;0;"Fellaini you beaut! #SOUMAN";;;#SOUMAN;"911612749549010945";https://twitter.com/baymath/status/911612749549010945
iAmHafeezAR;2017-09-23 15:24;0;0;"Closee! #SOUMAN";;;#SOUMAN;"911612340541341700";https://twitter.com/iAmHafeezAR/status/911612340541341700
baymath;2017-09-23 15:20;0;0;"I mean, who’s meant to be covering Long?! #SOUMAN";;;#SOUMAN;"911611198386446336";https://twitter.com/baymath/status/911611198386446336
fluent_sport;2017-09-23 15:13;0;0;"#SOUMAN Southampton vs ManU Preview - Premier League 2017/18 https://www. fluentsport.com/2017/09/21/sou thampton-vs-manu-preview-premier-league-201718/ …";;;#SOUMAN;"911609362451492864";https://twitter.com/fluent_sport/status/911609362451492864
IExpressSports;2017-09-23 15:04;1;4;"#souman Second half kicks off, United lead Southampton by a goal http:// indianexpress.com/article/sports /football/english-premier-league-2017-18/manchester-united-vs-southampton-live-football-score-premier-league-live-streaming-updates-lukaku-rashford-4857752/ …";;;#souman;"911607333888835586";https://twitter.com/IExpressSports/status/911607333888835586
juanfixer;2017-09-23 15:00;0;0;"Yo quiero un gol de @juanmata8 de cumpleaños por favor!!! #SOUMAN";;@juanmata8;#SOUMAN;"911606245295083525";https://twitter.com/juanfixer/status/911606245295083525
Saiyuri13;2017-09-23 14:58;0;0;"Who will win #souman";;;#souman;"911605724123467776";https://twitter.com/Saiyuri13/status/911605724123467776
baymath;2017-09-23 14:50;0;1;"8 goals in 8 games #LUKAKU #SOUMAN";;;#LUKAKU #SOUMAN;"911603799139258369";https://twitter.com/baymath/status/911603799139258369
LIVESTREAMMM;2017-09-23 14:47;0;1;"watch Southampton FC vs Manchester United live stream http:// goo.gl/2LQePJ #souman #MUFC #Southampton #SOUMUN #PremierLeague #EPL pic.twitter.com/AOZnookJ1n";;;#souman #MUFC #Southampton #SOUMUN #PremierLeague #EPL;"911602986555707394";https://twitter.com/LIVESTREAMMM/status/911602986555707394
Roymato;2017-09-23 14:47;0;0;"2mins added time #souman";;;#souman;"911602966792167424";https://twitter.com/Roymato/status/911602966792167424
Marvinan_jo;2017-09-23 14:45;0;0;"Half time..at saints mary's.. #souman 0-1";;;#souman;"911602550775930881";https://twitter.com/Marvinan_jo/status/911602550775930881
N_bugge;2017-09-23 14:44;0;1;"#souman did Fellani just get a seizure from being stepped on his heel?";;;#souman;"911602092820897799";https://twitter.com/N_bugge/status/911602092820897799
Ejiofor_Eric;2017-09-23 14:40;1;0;"Watching my boys @ManUtd with style... #SOUMAN pic.twitter.com/PVjcjsmUab";;@ManUtd;#SOUMAN;"911601275594317824";https://twitter.com/Ejiofor_Eric/status/911601275594317824
RedDevilProdigy;2017-09-23 14:40;0;0;"Yeah that should have been a straight red for Long. Awful stamp. #MUFC #souman";;;#MUFC #souman;"911601195554414592";https://twitter.com/RedDevilProdigy/status/911601195554414592
FourFourTwo;2017-09-23 14:38;59;88;""This shampoo will make your hair feel silky fresh..." #SOUMAN pic.twitter.com/WLWTv2yTKe";;;#SOUMAN;"911600780557373440";https://twitter.com/FourFourTwo/status/911600780557373440
FourFourTwo;2017-09-23 14:32;2;5;"What's Mourinho discussing with Faria? #SOUMAN pic.twitter.com/1JF6AFEqbv";;;#SOUMAN;"911599221605847040";https://twitter.com/FourFourTwo/status/911599221605847040
