username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Jessicalyn91;2017-09-24 01:57;0;0;"BONUS 100% DEPOSIT BONUS DEPOSIT 20% TOGEL hanya di http://www. kakektogel.com #SOUMUN pic.twitter.com/nyO5ri0vJ6";;;#SOUMUN;"911741275631607808";https://twitter.com/Jessicalyn91/status/911741275631607808
Almirazara69;2017-09-24 01:54;0;0;"#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936 Indogenting pic.twitter.com/tPydWwbh4G";;;#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936;"911740674222981120";https://twitter.com/Almirazara69/status/911740674222981120
Valen57435895;2017-09-24 01:53;0;0;"#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936 Indogenting pic.twitter.com/I986TI6GY3";;;#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936;"911740391954747392";https://twitter.com/Valen57435895/status/911740391954747392
Anita25254;2017-09-24 01:53;0;1;"#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936 Indogenting pic.twitter.com/gPYi0VmSoK";;;#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936;"911740306655186944";https://twitter.com/Anita25254/status/911740306655186944
AstyPutry1987;2017-09-24 01:53;0;0;"#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936 Indogenting pic.twitter.com/0gAss0T27r";;;#HariMaritim #JapanOpenKompasTV #batagorngevlog #DAMISukabumiAdaLestyKejora #SOUMUN #Bocorantog3lkatanya81 #DewaBumihoki1936;"911740290234535936";https://twitter.com/AstyPutry1987/status/911740290234535936
Hanypandai;2017-09-24 01:46;0;1;"Ayo Jalan sehat tahun baru An #KASKUSKudusHalfMarathon #PersijaDay #HariMaritim #SOUMUN #DiamondEdgeInJKT — playing jalan kaki";;;#KASKUSKudusHalfMarathon #PersijaDay #HariMaritim #SOUMUN #DiamondEdgeInJKT;"911738633744351234";https://twitter.com/Hanypandai/status/911738633744351234
FernaldyRizky__;2017-09-24 01:44;2;2;"FULL TIME: Southampton 0-1 Manchester United ( Lukaku 20' ) #EPL #SOUMUN #GGMU #MUFC";;;#EPL #SOUMUN #GGMU #MUFC;"911738123624648705";https://twitter.com/FernaldyRizky__/status/911738123624648705
EightTerritory;2017-09-24 01:34;0;0;"Memakai kaos bukan atlit, dipompa bukan roda, bertopi lebar bukan petani, bersinar bukan matahari, siapakah dia? #SOUMUN pic.twitter.com/rbUJlt6UFB";;;#SOUMUN;"911735459277045761";https://twitter.com/EightTerritory/status/911735459277045761
dantheman0813;2017-09-24 01:33;0;1;"LETS FUCKING GO!!! #v4msu #fucknd #SOUMUN msu4tw";;;#v4msu #fucknd #SOUMUN;"911735224479965184";https://twitter.com/dantheman0813/status/911735224479965184
tebak_pintar;2017-09-24 01:33;1;0;"Memakai kaos bukan atlit, dipompa bukan roda, bertopi lebar bukan petani, bersinar bukan matahari, siapakah dia? #SOUMUN";;;#SOUMUN;"911735210579943424";https://twitter.com/tebak_pintar/status/911735210579943424
DubbleR_Slight;2017-09-24 01:30;0;0;"#iHeartFestival #Decision17 #MUFC #SOUMUN #JoolsHolland #AFLTigersGiants #FedalUtd #STKCHE #LEILIV #COY #TAMUvsARK #LaverCup #FridayFeeling pic.twitter.com/Iw1oX0KSyp";;;#iHeartFestival #Decision17 #MUFC #SOUMUN #JoolsHolland #AFLTigersGiants #FedalUtd #STKCHE #LEILIV #COY #TAMUvsARK #LaverCup #FridayFeeling;"911734441193742336";https://twitter.com/DubbleR_Slight/status/911734441193742336
clipgator;2017-09-24 01:29;0;0;"Romelu Lukaku scores for Red Devils – Southampton 0-1 Man United #SOUMUN https:// goo.gl/fb/fiUEzm #news #NLG";;;#SOUMUN #news #NLG;"911734338676510720";https://twitter.com/clipgator/status/911734338676510720
jpavlovic801;2017-09-24 01:28;0;0;"#SOUMUN via @premierleague https://www. premierleague.com/match/22398";;@premierleague;#SOUMUN;"911734046773743616";https://twitter.com/jpavlovic801/status/911734046773743616
AdzRichBarr;2017-09-24 01:14;0;0;"Peaceful singalong. Great support and 3 points to go with it. #SOUMUN #MUFC pic.twitter.com/Bvk4Aqp8Mj";;;#SOUMUN #MUFC;"911730637136113664";https://twitter.com/AdzRichBarr/status/911730637136113664
LIVEHDMATCH;2017-09-24 01:02;5;7;"All Goals & Highlights http:// goals4k.blogspot.com App https:// goo.gl/1mWCBE #SOUMUN #STOCHE #alavesmadrid #LeiLiv #GironaBarça #JuveTorino pic.twitter.com/63eyy8NoWj";;;#SOUMUN #STOCHE #alavesmadrid #LeiLiv #GironaBar #JuveTorino;"911727375708229632";https://twitter.com/LIVEHDMATCH/status/911727375708229632
theuglyinside;2017-09-24 00:54;0;1;""We gave everything in second half" | #SaintsFC 0-1 #MUFC | The Ugly Inside #SOUMUN #MOTD #fancam http:// youtu.be/yF5QpXRWV0U?a";;;#SaintsFC #MUFC #SOUMUN #MOTD #fancam;"911725507133280258";https://twitter.com/theuglyinside/status/911725507133280258
SoccerForecast1;2017-09-24 00:52;2;1;"Todays correct forecasts #soccer #football #足球 #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli pic.twitter.com/0K531KskeN";;;#soccer #football # #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli;"911725073337339904";https://twitter.com/SoccerForecast1/status/911725073337339904
RobCoats;2017-09-24 00:45;0;0;"@BBCMOTD Not even going to talk about the blatant penalty during the #SOUMUN game? Alright then. #MOTD";;@BBCMOTD;#SOUMUN #MOTD;"911723321238196224";https://twitter.com/RobCoats/status/911723321238196224
daconcupcup;2017-09-24 00:45;0;0;"Loving someone isn’t just about saying it every day, it’s showing it every day in every #HumanDesignIndonesia .com #dacdi6996 #SOUMUN";;;#HumanDesignIndonesia #dacdi6996 #SOUMUN;"911723295459774464";https://twitter.com/daconcupcup/status/911723295459774464
mozay_esq;2017-09-24 00:43;0;0;"#SOUMUN . Disappointing performance.";;;#SOUMUN;"911722645783183362";https://twitter.com/mozay_esq/status/911722645783183362
ctrldh_;2017-09-24 00:39;0;0;"#TakeAKnee #UNGA #MUFC #decision17 #SOUMUN #AFLTigersGiants #LaverCup #florencespeech #Fedal #Bergen2017 #GGMU #BDS #Brexit #Boycott";;;#TakeAKnee #UNGA #MUFC #decision17 #SOUMUN #AFLTigersGiants #LaverCup #florencespeech #Fedal #Bergen2017 #GGMU #BDS #Brexit #Boycott;"911721786559012864";https://twitter.com/ctrldh_/status/911721786559012864
Vishrut_Garg;2017-09-24 00:35;0;0;"Couldn't watch the match today, but good to know lads held on. #SOUMUN";;;#SOUMUN;"911720741263028224";https://twitter.com/Vishrut_Garg/status/911720741263028224
ekohap;2017-09-24 00:30;0;0;"Butuh masker sehat dan alami cek http:// shopee.co.id/dian_balqis tanya tanya dulu gapapa. #MatchdayGoal #KKHM2017 #GunungAgungAwas #PSSday #SOUMUN pic.twitter.com/Fjc1Uzze0g";;;#MatchdayGoal #KKHM2017 #GunungAgungAwas #PSSday #SOUMUN;"911719429829828613";https://twitter.com/ekohap/status/911719429829828613
ZeroMark30;2017-09-24 00:28;0;1;"For gods sake, Jonathan Pearse shut up! Just tell us who’s on the ball and shut up! #MOTD #SOUMUN";;;#MOTD #SOUMUN;"911719031912255489";https://twitter.com/ZeroMark30/status/911719031912255489
xxGeorge1892xx;2017-09-24 00:27;0;0;"United fans still singing about #Lukaku 's d!ck. How embarrassing! #GrowUp #gay #motd #SOUMUN #ManchesterUnited";;;#Lukaku #GrowUp #gay #motd #SOUMUN #ManchesterUnited;"911718655632781313";https://twitter.com/xxGeorge1892xx/status/911718655632781313
jonhotspur88;2017-09-24 00:22;0;0;"Thrilling contest at St.Marys today.... #SOUMUN @BBCMOTD pic.twitter.com/0ZcDbd0iQT";;@BBCMOTD;#SOUMUN;"911717517491613699";https://twitter.com/jonhotspur88/status/911717517491613699
