username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Vancelotti;2017-09-24 01:56;0;0;"@AlvaroMorata finishes were totally classy for his first two. World class. Love the boy. He’ll need work on physicality bit more. #STKCHE";;@AlvaroMorata;#STKCHE;"911741180257243137";https://twitter.com/Vancelotti/status/911741180257243137
Vancelotti;2017-09-24 01:53;0;0;"@_Pedro17_ goal was underrated. He anticipated the loose ball from Fletcher and started sprinting even b4 it was chested down. #STKCHE";;@_Pedro17_;#STKCHE;"911740357888446464";https://twitter.com/Vancelotti/status/911740357888446464
GuyGc5269;2017-09-24 01:49;0;0;"#STKCHE via @premierleague http://www. premierleague.com/match/22399rrr rrrrffrddddfdz …";;@premierleague;#STKCHE;"911739323669659648";https://twitter.com/GuyGc5269/status/911739323669659648
bdemy;2017-09-24 01:42;0;0;"My blog. The Sports Corner is out! http:// paper.li/bdemy/13868521 49?edition_id=d30b01b0-a0b8-11e7-a2ed-0cc47a0d1605 … #cfc #stkche";;;#cfc #stkche;"911737501957705730";https://twitter.com/bdemy/status/911737501957705730
ipopoi;2017-09-24 01:40;0;0;"Inner peace begins the moment you choose not to allow another person or event to control your emotions. #NOMOR1 .net #prioka138 #STKCHE";;;#NOMOR1 #prioka138 #STKCHE;"911737078047580160";https://twitter.com/ipopoi/status/911737078047580160
Chelsea_Global;2017-09-24 01:37;0;1;"Alvaro #Morata : Post Match Interview #STKCHE #CFC http:// chelseafcglobal.net Like for more: Chelsea FC Global http:// fb.me/x4YGXxbQ";;;#Morata #STKCHE #CFC;"911736397995872257";https://twitter.com/Chelsea_Global/status/911736397995872257
DubbleR_Slight;2017-09-24 01:30;0;0;"#iHeartFestival #Decision17 #MUFC #SOUMUN #JoolsHolland #AFLTigersGiants #FedalUtd #STKCHE #LEILIV #COY #TAMUvsARK #LaverCup #FridayFeeling pic.twitter.com/Iw1oX0KSyp";;;#iHeartFestival #Decision17 #MUFC #SOUMUN #JoolsHolland #AFLTigersGiants #FedalUtd #STKCHE #LEILIV #COY #TAMUvsARK #LaverCup #FridayFeeling;"911734441193742336";https://twitter.com/DubbleR_Slight/status/911734441193742336
clipgator;2017-09-24 01:29;0;0;"Alvaro Morata scores for Blues – Stoke 0-4 Chelsea #STKCHE https:// goo.gl/fb/pZXzcj #news #NLG";;;#STKCHE #news #NLG;"911734337565052928";https://twitter.com/clipgator/status/911734337565052928
ImAvinashS4;2017-09-24 01:23;0;1;"#MD6 @Alvaro oh wow hatric hero. Spanish condourum. Come on Blues. #Spainards #STKCHE";;@Alvaro;#MD6 #Spainards #STKCHE;"911732737202987011";https://twitter.com/ImAvinashS4/status/911732737202987011
vinmoriasi;2017-09-24 01:16;1;2;"#STKCHE always trusted Morata, It's now time to prove himself against the big boys";;;#STKCHE;"911731110760947712";https://twitter.com/vinmoriasi/status/911731110760947712
