username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VonActor;2017-09-23 23:32;1;0;"Fletcher needs to retire. The game was to big for him. #STOCHE";;;#STOCHE;"911734978815414272";https://twitter.com/VonActor/status/911734978815414272
RoboNeuer;2017-09-23 23:24;1;0;"Say what you want about #morata , but stoke were not at the races. Wait till he does something against a “good” team... #STOCHE";;;#morata #STOCHE;"911733058780454913";https://twitter.com/RoboNeuer/status/911733058780454913
LIVEHDMATCH;2017-09-23 23:02;5;7;"All Goals & Highlights http:// goals4k.blogspot.com App https:// goo.gl/1mWCBE #SOUMUN #STOCHE #alavesmadrid #LeiLiv #GironaBarça #JuveTorino pic.twitter.com/63eyy8NoWj";;;#SOUMUN #STOCHE #alavesmadrid #LeiLiv #GironaBar #JuveTorino;"911727375708229632";https://twitter.com/LIVEHDMATCH/status/911727375708229632
carlmaass92;2017-09-23 22:58;0;1;"A cool head on that young shoulders, well done with today's performance. @AlvaroMorata #cfc #STOCHE #Chelsea #blueisthecolour pic.twitter.com/D8kH37y88D";;@AlvaroMorata;#cfc #STOCHE #Chelsea #blueisthecolour;"911726469356965889";https://twitter.com/carlmaass92/status/911726469356965889
SoccerForecast1;2017-09-23 22:52;2;1;"Todays correct forecasts #soccer #football #足球 #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli pic.twitter.com/0K531KskeN";;;#soccer #football # #Apple #Android #iOS #calcio #RBLSGE #bvbbmg #MCICRY #soumun #stoche #evebou #Atleti #Napoli;"911725073337339904";https://twitter.com/SoccerForecast1/status/911725073337339904
295415c;2017-09-23 22:29;1;1;"@BBCMOTD Editing the stoke v chelsea game wen they see the Crouch on Fabregas assault! #bias #blinkers #chelseafc #STOCHE pic.twitter.com/G8u6gDNYDA";;@BBCMOTD;#bias #blinkers #chelseafc #STOCHE;"911719221100531712";https://twitter.com/295415c/status/911719221100531712
RobHarvey12;2017-09-23 22:21;0;0;"No mention of Alonso lucky to not be sent off!! Typical! @BBCMOTD @GaryLineker #STOCHE";;@BBCMOTD @GaryLineker;#STOCHE;"911717125768794112";https://twitter.com/RobHarvey12/status/911717125768794112
xxGeorge1892xx;2017-09-23 22:16;1;0;"#Morata scores a hat-trick then...misses from a yard out? #STOCHE #motd";;;#Morata #STOCHE #motd;"911715985949896704";https://twitter.com/xxGeorge1892xx/status/911715985949896704
G2theb4;2017-09-23 22:16;0;0;"@AlvaroMorata goal looks good but i could outsprint a pensioner a loft the keeper.... #STOCHE #motd";;@AlvaroMorata;#STOCHE #motd;"911715943717441536";https://twitter.com/G2theb4/status/911715943717441536
PjusAjax;2017-09-23 22:16;0;0;"Ahhh, Butland at last being shown up for bring the bang average keeper her is. #motd #stoche #bbcone";;;#motd #stoche #bbcone;"911715874964373504";https://twitter.com/PjusAjax/status/911715874964373504
EmmetFreeman;2017-09-23 22:16;0;1;"#Morata is like torres in his prime #STOCHE #PremierLeague";;;#Morata #STOCHE #PremierLeague;"911715870044549121";https://twitter.com/EmmetFreeman/status/911715870044549121
r0ssr0wens;2017-09-23 22:15;0;1;"Oi, Chelsea fans: you had the bull, now you've got the Matador... #STOCHE #MOTD";;;#STOCHE #MOTD;"911715707540385792";https://twitter.com/r0ssr0wens/status/911715707540385792
bigwows;2017-09-23 22:15;0;0;"Fletcher making a hash of things as per. Bit of a demolition job here. Makes our result look v pathetic. #STOCHE";;;#STOCHE;"911715574627160064";https://twitter.com/bigwows/status/911715574627160064
ThePeterBurton;2017-09-23 22:13;0;1;"anyone else think Mike Dean would have sent the Stoke left back off for those two tackles Alonso made? #motd #STOCHE";;;#motd #STOCHE;"911715261501333511";https://twitter.com/ThePeterBurton/status/911715261501333511
xxGeorge1892xx;2017-09-23 22:12;0;0;"Shouldn't Diouf be booked for that over-head attempt? I thought they'd been outlawed? #STOCHE #motd";;;#STOCHE #motd;"911714918205939712";https://twitter.com/xxGeorge1892xx/status/911714918205939712
xxGeorge1892xx;2017-09-23 22:10;1;0;"Not a #Chelsea fan but I don't mind seeing a Mark Hughes side get a good humping tbf #STOCHE #motd";;;#Chelsea #STOCHE #motd;"911714386305220608";https://twitter.com/xxGeorge1892xx/status/911714386305220608
onionbagstats;2017-09-23 21:57;1;0;"#Chelseafc have scored at least 2 goals away from home in the #PremierLeague for the 200th time after victory at #Stokecity . #cfc #STOCHE";;;#Chelseafc #PremierLeague #Stokecity #cfc #STOCHE;"911711234621362176";https://twitter.com/onionbagstats/status/911711234621362176
onionbagstats;2017-09-23 21:55;0;0;"#Chelseafc have become the 3rd team in history to achieve 1800 all time #PremierLeague points after the win at #StokeCity . #cfc #STOCHE";;;#Chelseafc #PremierLeague #StokeCity #cfc #STOCHE;"911710701399527424";https://twitter.com/onionbagstats/status/911710701399527424
onionbagstats;2017-09-23 21:52;0;0;"#StokeCity surpassed 3600 top flight goals conceded in their loss to #Chelseafc - the 21st team to allow this many. #potters #scfc #STOCHE";;;#StokeCity #Chelseafc #potters #scfc #STOCHE;"911709876124037120";https://twitter.com/onionbagstats/status/911709876124037120
commiecuts;2017-09-23 21:49;0;0;"We lost that game before it even started #STOCHE #injuries";;;#STOCHE #injuries;"911709182742671360";https://twitter.com/commiecuts/status/911709182742671360
JK_CFC3;2017-09-23 21:14;0;0;"#PremierLeague Review Stoke 0-4 Chelsea. A thumping win for the reigning Champs, hat trick for Morata. But media couldn't care less #STOCHE";;;#PremierLeague #STOCHE;"911700282647736320";https://twitter.com/JK_CFC3/status/911700282647736320
adam_davies2;2017-09-23 20:37;1;0;"Clinical - especially by @AlvaroMorata #STOCHE pic.twitter.com/DhgRhVN0P7";;@AlvaroMorata;#STOCHE;"911690949436116992";https://twitter.com/adam_davies2/status/911690949436116992
JK_CFC3;2017-09-23 20:16;1;1;"4-0 away at Stoke. Morata hat trick. If that was United the pundits would already be naming them champs. So biased its unbelievable #STOCHE";;;#STOCHE;"911685764714508289";https://twitter.com/JK_CFC3/status/911685764714508289
walfoot;2017-09-23 20:15;0;0;"Thibaut Courtois blessé? "Tout va bien" https://www. walfoot.be/fra/news/lis/2 017-09-23/thibaut-courtois-blesse-tout-va-bien … #stoche #cfc #scfc #bpl";;;#stoche #cfc #scfc #bpl;"911685352506712064";https://twitter.com/walfoot/status/911685352506712064
295415c;2017-09-23 20:01;1;4;"Maybe but so should have Peter Crouch so sit down and shut up #STOCHE https:// twitter.com/evilbluebird/s tatus/911680931337039873 …";;;#STOCHE;"911681995389964288";https://twitter.com/295415c/status/911681995389964288
CFCTWEET__;2017-09-23 19:48;3;4;"If Zouma can play against us today, we definitely won't win this easily #STOCHE";;;#STOCHE;"911678790006272000";https://twitter.com/CFCTWEET__/status/911678790006272000
nvu66;2017-09-23 19:20;1;0;"#STOCHE What a win Blues, The performance was amazing, we played well today. Keep going Lads, we are absolutely the best #Chelsea";;;#STOCHE #Chelsea;"911671622054137856";https://twitter.com/nvu66/status/911671622054137856
Telescuffle;2017-09-23 19:12;1;1;"@BBCMOTD Just thought this seemed relevant... #STOCHE pic.twitter.com/ttulZIRQ8r";;@BBCMOTD;#STOCHE;"911669668863266817";https://twitter.com/Telescuffle/status/911669668863266817
ibrahimsaninet;2017-09-23 19:01;0;1;"If its anything more I like than the hat trick of Alvaro Morata, I simply LOVE his haircut #STOCHE four nil y'all";;;#STOCHE;"911666786902278144";https://twitter.com/ibrahimsaninet/status/911666786902278144
johimself;2017-09-23 18:51;2;1;"4-0 is one thing, but train beers that match my shirt is quite another. #STOCHE #Scfc pic.twitter.com/Oy9xChJzgl";;;#STOCHE #Scfc;"911664257200197633";https://twitter.com/johimself/status/911664257200197633
ToBridgeAndBack;2017-09-23 18:29;0;0;"No, you are!! #Morata #cfc #pl #PremierLeague #chelsea #STOCHE https:// twitter.com/AlvaroMorata/s tatus/911639005434957825 …";;;#Morata #cfc #pl #PremierLeague #chelsea #STOCHE;"911658736103469057";https://twitter.com/ToBridgeAndBack/status/911658736103469057
boyci3;2017-09-23 18:26;1;0;"Match of the day tonight is going to be superb .. #MOTD #STOCHE #LEILIV";;;#MOTD #STOCHE #LEILIV;"911658142920003585";https://twitter.com/boyci3/status/911658142920003585
Roseangel009;2017-09-23 18:23;6;13;"Morata 1st 3 goals for Chelsea came via d Head. And against Stoke scored hat-trick via d Leg. Head or Leg, Morata is #STOCHE #CFC";;;#STOCHE #CFC;"911657226305200128";https://twitter.com/Roseangel009/status/911657226305200128
idontcallmyself;2017-09-23 18:14;0;0;"@AlvaroMorata The silent assassin. First hattrick for Chelsea. More to come #STOCHE";;@AlvaroMorata;#STOCHE;"911654965680078848";https://twitter.com/idontcallmyself/status/911654965680078848
DamoFather;2017-09-23 18:02;0;2;"Harsh result on Stoke who were the walking wounded at the back before kick off but Chelsea are quality to be fair. #STOCHE";;;#STOCHE;"911651888227110913";https://twitter.com/DamoFather/status/911651888227110913
Dr_BlueBayou;2017-09-23 17:58;0;0;"World is due to end today. Was 4-0 at Stoke how I foresaw my last day? But happy to that Morata hat-trick to the great beyond. #STOCHE #CFC";;;#STOCHE #CFC;"911650963278237697";https://twitter.com/Dr_BlueBayou/status/911650963278237697
sarathnt;2017-09-23 17:52;1;1;"#christensen + #azpi + #rudiger = clean sheet #KTBFFH #CFC #STOCHE";;;#christensen #azpi #rudiger #KTBFFH #CFC #STOCHE;"911649515056140288";https://twitter.com/sarathnt/status/911649515056140288
energytl;2017-09-23 17:42;2;1;"Stoke Mark Hughes forgets Crouch was lucky to stay on pitch after the high bad tackle on Fabregas. #STOCHE #CFC #EPL";;;#STOCHE #CFC #EPL;"911646955503280128";https://twitter.com/energytl/status/911646955503280128
NatSportUAE;2017-09-23 17:30;0;0;"Costa who? Alvaro Morata bags first hat-trick of Chelsea career in rout of Stoke. Read @RichJolly report #STOCHE http:// bit.ly/2xqsU2F pic.twitter.com/iViGQCSPQB";;@RichJolly;#STOCHE;"911644010829287432";https://twitter.com/NatSportUAE/status/911644010829287432
ManishMiglani_;2017-09-23 17:27;1;0;"Guess who scored the #PremierLeague 's 1st and (so far) only hat trick? #Morata And this 2nd goal is pure porn #STOCHE @ChelseaFC @stokecity https:// twitter.com/Fehintola_BG/s tatus/911625979210211329 …";;@ChelseaFC @stokecity;#PremierLeague #Morata #STOCHE;"911643240780136448";https://twitter.com/ManishMiglani_/status/911643240780136448
maidansport;2017-09-23 17:21;1;2;"Pic of the Day. Who misses Diego? #STOCHE @ChelseaFC @AlvaroMorata #ReturnToExcellence pic.twitter.com/7alvT0Oirb";;@ChelseaFC @AlvaroMorata;#STOCHE #ReturnToExcellence;"911641684802441216";https://twitter.com/maidansport/status/911641684802441216
The_JP_Man;2017-09-23 17:14;0;2;"They said morata cant score with his feet so he scored three goals with his feet!! Are you not entertained???? #headmaster #STOCHE";;;#headmaster #STOCHE;"911639950873038848";https://twitter.com/The_JP_Man/status/911639950873038848
MasoHendo;2017-09-23 17:13;0;0;"Who was today's MOTM: Morata, Azpilicueta, or Christensen? Let me know down below. #STOCHE #ChelseaFC http:// youtu.be/um35zq7gCO4?a";;;#STOCHE #ChelseaFC;"911639764608143361";https://twitter.com/MasoHendo/status/911639764608143361
SkyFantasyFooty;2017-09-23 17:08;4;13;"Here are your 3pm MOTM's: #SOUMUN - Jones #STOCHE – Morata #MCICRY – Sane #EVEBOU – Niasse #SWAWAT – Femenia #BURHUD – Schindler pic.twitter.com/rCNLYnzfze";;;#SOUMUN #STOCHE #MCICRY #EVEBOU #SWAWAT #BURHUD;"911638520237887488";https://twitter.com/SkyFantasyFooty/status/911638520237887488
PimientoFutbol;2017-09-23 17:04;0;0;"Alvaro Morata hat trick leads Chelsea to big win over Stoke in #EPL #90Minutes #STOCHE http:// trib.in/2ykAuLB";;;#EPL #90Minutes #STOCHE;"911637374324609024";https://twitter.com/PimientoFutbol/status/911637374324609024
CFC_ThisMinute;2017-09-23 17:00;1;0;"Final Score Stoke City 0 v Chelsea 4 and, stats and commentary see http:// bit.ly/2xpWdST #STOCHE #CFC";;;#STOCHE #CFC;"911636370820681728";https://twitter.com/CFC_ThisMinute/status/911636370820681728
SCFC_ThisMinute;2017-09-23 17:00;0;0;"Final Score Stoke City 0 v Chelsea 4, todays match & player stats see http:// bit.ly/2xpVHEr #STOCHE #SCFC";;;#STOCHE #SCFC;"911636312708354050";https://twitter.com/SCFC_ThisMinute/status/911636312708354050
mus_ttafah;2017-09-23 16:58;0;0;"Can morata do it at stoke? Of course he can #STOCHE #CFC #KTBFFH";;;#STOCHE #CFC #KTBFFH;"911635905345187840";https://twitter.com/mus_ttafah/status/911635905345187840
FootballBus;2017-09-23 16:54;2;1;"Zidane watching #Morata score a hat-trick today.. Benzema+Mayoral= 2 goals #STOCHE #CFC pic.twitter.com/w3EhYCUDq7";;;#Morata #STOCHE #CFC;"911634771402543104";https://twitter.com/FootballBus/status/911634771402543104
AhmedFarooqui09;2017-09-23 16:53;0;0;"@hotstartweets Couldn't watch the #STOCHE Live today! And now cant watch #LEILIV live! FIX THIS ASAP! -.-";;@hotstartweets;#STOCHE #LEILIV;"911634617517490176";https://twitter.com/AhmedFarooqui09/status/911634617517490176
milo_ben;2017-09-23 16:48;0;1;"I bet there's still some chelsea 'fans' on here today blaming Cahill and Alonso for not winning 0-5 #chelsea #cfc #STOCHE";;;#chelsea #cfc #STOCHE;"911633339982938118";https://twitter.com/milo_ben/status/911633339982938118
saxbyjonathan;2017-09-23 16:43;1;1;"Great win for @ChelseaFC today v Stoke! @AlvaroMorata what a striker! On fire #CFC #stoche #Chelsea #Morata";;@ChelseaFC @AlvaroMorata;#CFC #stoche #Chelsea #Morata;"911632083889647616";https://twitter.com/saxbyjonathan/status/911632083889647616
mp3gists;2017-09-23 16:41;0;0;"Superb Alvaro Morata Hattrick Goal #stoche https:// mp3gist.com/alvaro-morata- hattrick-goal-stoke/ …";;;#stoche;"911631668255117313";https://twitter.com/mp3gists/status/911631668255117313
ajinkya_299;2017-09-23 16:40;0;0;"All who doubted @AlvaroMorata at Chelsea 1. Raise your hands 2. Fuck off #stoche #PL #chelseafc";;@AlvaroMorata;#stoche #PL #chelseafc;"911631370979627010";https://twitter.com/ajinkya_299/status/911631370979627010
DanisCFC;2017-09-23 16:39;0;0;"Funny how the tackle on Fabregas from Crouch goes unnoticed, while we got two red cards for almost identical tackles. #STOCHE";;;#STOCHE;"911630997644566528";https://twitter.com/DanisCFC/status/911630997644566528
Jamesdaniel_9;2017-09-23 16:36;0;1;"You asked him to score with his legs and he scored a hat trick with em @AlvaroMorata #stoche @premierleague";;@AlvaroMorata @premierleague;#stoche;"911630434467024896";https://twitter.com/Jamesdaniel_9/status/911630434467024896
FOURFOURTWO_ENG;2017-09-23 16:35;1;0;"1st Hat-trick for Morata & fortunately either is not with his head. @hazardeden10 's wish came true in great fashion. #CFC #Chelsea #stoche";;@hazardeden10;#CFC #Chelsea #stoche;"911630129738031104";https://twitter.com/FOURFOURTWO_ENG/status/911630129738031104
thomas_fitchett;2017-09-23 16:29;1;4;"#GloryHuntaz #stoche #CFC @ChelseaFC @premierleague pic.twitter.com/CAb09qcPY2";;@ChelseaFC @premierleague;#GloryHuntaz #stoche #CFC;"911628657814319107";https://twitter.com/thomas_fitchett/status/911628657814319107
nelly2112;2017-09-23 16:20;0;0;"Alvaro Morata is the best striker and on Chelsea...until Barca, Bayern or Juve pay £100 million or more and buy him #CFC #stoche";;;#CFC #stoche;"911626458421895168";https://twitter.com/nelly2112/status/911626458421895168
PureHendrick;2017-09-23 16:20;5;12;"Morata scored his first hat-trick for Chelsea #CFC #STOCHE pic.twitter.com/vOh9BKgxTV";;;#CFC #STOCHE;"911626363701997568";https://twitter.com/PureHendrick/status/911626363701997568
energytl;2017-09-23 16:16;0;1;"@AlvaroMorata @CesarAzpi @_Pedro17_ standout performers with good team play! #cfc #stoche";;@AlvaroMorata @CesarAzpi @_Pedro17_;#cfc #stoche;"911625398458478592";https://twitter.com/energytl/status/911625398458478592
oreopopsicles;2017-09-23 16:16;0;1;"yalls was on fire today!!!! @chelseafc @AlvaroMorata #ktbffh #stoche pic.twitter.com/Nsiu3PRlAS";;@chelseafc @AlvaroMorata;#ktbffh #stoche;"911625225434886144";https://twitter.com/oreopopsicles/status/911625225434886144
thetotalsport8;2017-09-23 16:15;3;1;"Chelsea écrase Stoke au Bet365 Stadium. #STOCHE #Chelsea http:// thetotalsport.com/article/chelse a-ecrase-stoke-au-bet365-stadium … pic.twitter.com/pdGwGV7Nr6";;;#STOCHE #Chelsea;"911624982622502914";https://twitter.com/thetotalsport8/status/911624982622502914
HazardTurns;2017-09-23 16:13;11;5;"Who is the best defender in the premier league. Retweet when voted . #CFC #STOCHE #WHUTOT";;;#CFC #STOCHE #WHUTOT;"911624537254572033";https://twitter.com/HazardTurns/status/911624537254572033
fidron;2017-09-23 16:12;0;1;"#Chelsea couldn't have made my weekend any better(4-0) Morata hat trick - awesome!! Atleti here we come #STOCHE pic.twitter.com/80NRWTmJA6";;;#Chelsea #STOCHE;"911624312259522560";https://twitter.com/fidron/status/911624312259522560
Handy_Mendy;2017-09-23 16:12;0;0;"Morata or Lukaku? #stoche #SOUMUN";;;#stoche #SOUMUN;"911624274867359745";https://twitter.com/Handy_Mendy/status/911624274867359745
_adam_M98;2017-09-23 16:12;0;1;"Alvaro Morata is the best striker in the PL, don’t even @me #STOCHE";;@me;#STOCHE;"911624219963904008";https://twitter.com/_adam_M98/status/911624219963904008
pralija28;2017-09-23 16:11;0;1;"אף אחד לא חשב שלמוראטה יהיה כזה הספק עד עכשיו, כולל הוא עצמו #stoche";;;#stoche;"911624041710178305";https://twitter.com/pralija28/status/911624041710178305
cfcguido11;2017-09-23 16:10;0;0;"Eindstand: Stoke City 0-4 #CHELSEA #CFC #STKCHE #STOCHE";;;#CHELSEA #CFC #STKCHE #STOCHE;"911623836973633537";https://twitter.com/cfcguido11/status/911623836973633537
Handy_Mendy;2017-09-23 16:10;0;1;"Ngl Chelsea made the right decision on signing Morata. Morata is sooo much better than Lukaku imo #stoche #SOUMUN";;;#stoche #SOUMUN;"911623701686292481";https://twitter.com/Handy_Mendy/status/911623701686292481
shreyan1710;2017-09-23 16:08;0;1;"Seems like Morata can do it on a warm sunny day at Stoke. #STOCHE #cfc";;;#STOCHE #cfc;"911623265432375296";https://twitter.com/shreyan1710/status/911623265432375296
manfred_langsam;2017-09-23 16:07;0;0;"#StoChe Yes #A .Morata Dreierpack gegen #StokeCity .";;;#StoChe #A #StokeCity;"911623077083140096";https://twitter.com/manfred_langsam/status/911623077083140096
thetotalsport8;2017-09-23 16:04;1;2;"Les résultats de la 6ème journée de premier league. #MCICRY #STOCHE #SOUMUN http:// thetotalsport.com/resultat pic.twitter.com/DKpLI7dhiT";;;#MCICRY #STOCHE #SOUMUN;"911622212620308480";https://twitter.com/thetotalsport8/status/911622212620308480
NzRv;2017-09-23 16:03;0;0;"How to win a match without Fabregas? #STOCHE";;;#STOCHE;"911621988103241728";https://twitter.com/NzRv/status/911621988103241728
shortblacbuoy;2017-09-23 16:03;0;0;"Morata is . #cfc #stoche @ChelseaFC";;@ChelseaFC;#cfc #stoche;"911621955543027712";https://twitter.com/shortblacbuoy/status/911621955543027712
buzaglo16;2017-09-23 16:01;67;272;"Alvaro ohhhhh, Alvaro ohhhhh, he comes from sunny Spain, he’s better than Harry Kane #CFC #STOCHE";;;#CFC #STOCHE;"911621572401737728";https://twitter.com/buzaglo16/status/911621572401737728
thefamous_CFC;2017-09-23 16:01;2;1;"Alot of people often ask about good foreign strikers; "Yeah, but can he do it against Stoke away?".. well yes, yes he can #Chelsea #STOCHE pic.twitter.com/cwSxqG1Z2s";;;#Chelsea #STOCHE;"911621558078197762";https://twitter.com/thefamous_CFC/status/911621558078197762
apobouchery;2017-09-23 16:00;0;0;"Je retire mes doutes concernant Morata : je ne m'attendais pas à une telle adaptation à la PL.. (encore des réserves en C1) #STOCHE #Chelsea";;;#STOCHE #Chelsea;"911621349415714816";https://twitter.com/apobouchery/status/911621349415714816
295415c;2017-09-23 16:00;1;1;"Fabregas truly is MAGIC @ChelseaFC #stoche pic.twitter.com/SjFVBrndVv";;@ChelseaFC;#stoche;"911621188719452160";https://twitter.com/295415c/status/911621188719452160
VoetbalcomNL;2017-09-23 15:57;0;0;"Overtuigende zeges voor de Engelse topclubs: http:// bit.ly/2xn6aDe Man City - Palace 5-0 Stoke City - Chelsea 0-4 #stoche #mancity pic.twitter.com/lwEeAj6ZQV";;;#stoche #mancity;"911620619963392002";https://twitter.com/VoetbalcomNL/status/911620619963392002
Jargbe;2017-09-23 15:57;0;0;"what happened to #Stoke today? #Morata happened... #stoche";;;#Stoke #Morata #stoche;"911620575583506432";https://twitter.com/Jargbe/status/911620575583506432
Roshan8Coelho;2017-09-23 15:57;0;0;"4-0. Solid Defending. @AlvaroMorata Hattrick @CesarAzpi with 2 assists. @ChelseaFC are on their way to another title. #stoche";;@AlvaroMorata @CesarAzpi @ChelseaFC;#stoche;"911620518062600193";https://twitter.com/Roshan8Coelho/status/911620518062600193
wezlyzangkorara;2017-09-23 15:56;0;1;"FT: Stoke City 0-4 Chelsea Morata, Pedro, Morata, Morata Mtu wa GG utanisamehe hapa tunaongea mambo yetu. #STOCHE #CFC #KTBFFH";;;#STOCHE #CFC #KTBFFH;"911620286855942144";https://twitter.com/wezlyzangkorara/status/911620286855942144
allscores1;2017-09-23 15:56;0;0;"#BPL FT Results: #WHUTOT 2-3 #BURHUD 0-0 #EVEBOU 2-1 #MCICRY 5-0 #SOUMUN 0-1 #STOCHE 0-4 #SWAWAT 1-2 https:// goo.gl/1p0M1h";;;#BPL #WHUTOT #BURHUD #EVEBOU #MCICRY #SOUMUN #STOCHE #SWAWAT;"911620263661441027";https://twitter.com/allscores1/status/911620263661441027
BekkerSkovby;2017-09-23 15:56;0;0;"Klasse kamp. Dejligt at se Morata for alvor viser sig frem i #PremierLeague . #STOCHE";;;#PremierLeague #STOCHE;"911620211681447936";https://twitter.com/BekkerSkovby/status/911620211681447936
rameshsuba9;2017-09-23 15:55;0;1;"#Morata #stoche brilliant @ChelseaFC";;@ChelseaFC;#Morata #stoche;"911620136682926081";https://twitter.com/rameshsuba9/status/911620136682926081
MattLane1990;2017-09-23 15:55;0;0;"This 352 should be a thing now! #Chelsea #stoche #PremierLeague #champions";;;#Chelsea #stoche #PremierLeague #champions;"911620006500237313";https://twitter.com/MattLane1990/status/911620006500237313
iRohitBhat;2017-09-23 15:54;0;0;"First Hatrick for @AlvaroMorata . #stoche";;@AlvaroMorata;#stoche;"911619900556288006";https://twitter.com/iRohitBhat/status/911619900556288006
