username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
clipgator;2017-09-23 23:29;0;0;"Hornets take all 3 points from Swans – Swansea 1-2 Watford #SWAWAT https:// goo.gl/fb/A6Cmgs #news #NLG";;;#SWAWAT #news #NLG;"911734335086170112";https://twitter.com/clipgator/status/911734335086170112
HopwoodMedia;2017-09-23 23:28;0;3;"What's happening HT at the #Watfordfc end? #SWAWAT @SwansOfficial #swanseafc pic.twitter.com/jHgoBhNcNK";;@SwansOfficial;#Watfordfc #SWAWAT #swanseafc;"911733920277909504";https://twitter.com/HopwoodMedia/status/911733920277909504
PeyAthers;2017-09-23 22:51;0;0;"Paul clement must of ripped messa and Moreson a new arse hole after conceding that last min goal very poor. That was pathetic #motd #SWAWAT";;;#motd #SWAWAT;"911724621380096000";https://twitter.com/PeyAthers/status/911724621380096000
paulgd17362;2017-09-23 22:49;0;0;"What's it all about Alfie? #Mawson #SwaWat";;;#Mawson #SwaWat;"911724312104759296";https://twitter.com/paulgd17362/status/911724312104759296
dazzawalker;2017-09-23 22:48;0;0;"Richarlison looks like a great buy for Watford, game changer #SWAWAT #MOTD";;;#SWAWAT #MOTD;"911723935091367937";https://twitter.com/dazzawalker/status/911723935091367937
Draisey1010;2017-09-23 22:47;0;3;"Swans were ummin , Always praise mawson but shit out 90th minute you smash him #SWAWAT";;;#SWAWAT;"911723693621088256";https://twitter.com/Draisey1010/status/911723693621088256
davenolan17;2017-09-23 22:46;0;0;"Talk about luck #SWAWAT #MOTD";;;#SWAWAT #MOTD;"911723570593705984";https://twitter.com/davenolan17/status/911723570593705984
cadburysmeaow;2017-09-23 22:45;0;0;"Gomes made a bigger error than bogdan for #LFC ! #SWAWAT #MOTD";;;#LFC #SWAWAT #MOTD;"911723230871908358";https://twitter.com/cadburysmeaow/status/911723230871908358
HopwoodMedia;2017-09-23 22:43;4;31;"Woweee! Well worth the wait watching #Watfordfc whack in the 90-minute-winner in #Wales . Wonderful. #SWAWAT @WD18fans pic.twitter.com/4c2f6cEPJS";;@WD18fans;#Watfordfc #Wales #SWAWAT;"911722740310212608";https://twitter.com/HopwoodMedia/status/911722740310212608
1607WestEgg;2017-09-23 22:43;0;0;"Up to last season's unnecessary away kit use again is @WatfordFC . #SWAWAT @BBCMOTD @awaykitwatch";;@WatfordFC @BBCMOTD @awaykitwatch;#SWAWAT;"911722704558059521";https://twitter.com/1607WestEgg/status/911722704558059521
