username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MercyKhahukani;2017-09-25 20:52;0;0;"Hii Ni madharau 5 seconds for Niles #afcvwba #arswes";;;#afcvwba #arswes;"912419560015503361";https://twitter.com/MercyKhahukani/status/912419560015503361
rohanarsenalfc;2017-09-25 20:24;0;1;"GOAL! 2-0 ! Lacazette! #ArsWes";;;#ArsWes;"912412631952089088";https://twitter.com/rohanarsenalfc/status/912412631952089088
Nsoh_Amaale;2017-09-25 19:52;0;0;"@DStv_Ghana #arswes @ss3 , why will ss3 be out in clear teshie weather but ss4 is on? pic.twitter.com/bST5CKLAAJ";;@DStv_Ghana @ss3;#arswes;"912404402526355456";https://twitter.com/Nsoh_Amaale/status/912404402526355456
CityTVug;2017-09-25 19:22;0;0;"CITY TV SPORT TALK Goooooal! Lacazette scores 3rd premier league goal in the Arsenal jersy Arsenal 1-0 Westbrom #ArsWes";;;#ArsWes;"912397036502212608";https://twitter.com/CityTVug/status/912397036502212608
geesingh1;2017-09-25 19:20;0;0;"Game over folks #arswes #arsenal";;;#arswes #arsenal;"912396483885981696";https://twitter.com/geesingh1/status/912396483885981696
okiesmann;2017-09-25 18:47;1;0;"He jst goes abt his job like a great professional. Salute to Gareth Barry. 633rd PL appearance n counting... What a record! #ARSWES";;;#ARSWES;"912388111807782913";https://twitter.com/okiesmann/status/912388111807782913
fotballblogg1_;2017-09-25 18:20;0;0;"West Brom har ikke klart å vinne 10 av deres siste 11 bortekamper i PL #2pl #arsenor #arswes #fotballblogg1 pic.twitter.com/8LrgndELxc";;;#2pl #arsenor #arswes #fotballblogg1;"912381211208712192";https://twitter.com/fotballblogg1_/status/912381211208712192
fotballblogg1_;2017-09-25 18:18;0;0;"West Brom har sluppet inn minst 2 mål i 5 av deres 6 siste bortekamper i PL #2pl #arsenor #arswes #fotballblogg1";;;#2pl #arsenor #arswes #fotballblogg1;"912380689374466049";https://twitter.com/fotballblogg1_/status/912380689374466049
fotballblogg1_;2017-09-25 18:16;0;0;"Arsenal har scoret minst 3 mål i deres 3 siste hjemmekamper i PL #2pl #arsenor #arswes #fotballblogg1";;;#2pl #arsenor #arswes #fotballblogg1;"912380182274723840";https://twitter.com/fotballblogg1_/status/912380182274723840
fotballblogg1_;2017-09-25 18:14;0;0;"De 5 siste oppgjørene mellom Arsenal og WBA i PL uansett bane, har alle endt med hjemmeseier #2pl #arsenor #arswes #fotballblogg1";;;#2pl #arsenor #arswes #fotballblogg1;"912379680594022402";https://twitter.com/fotballblogg1_/status/912379680594022402
fotballblogg1_;2017-09-25 18:12;0;0;"Sist sesong endte oppgjøret mellom Arsenal og WBA med 1-0 seier etter mål av Giroud #2pl #arsenor #arswes #fotballblogg1";;;#2pl #arsenor #arswes #fotballblogg1;"912379184680402945";https://twitter.com/fotballblogg1_/status/912379184680402945
fotballblogg1_;2017-09-25 18:10;0;0;"Arsenal har vunnet sine 7 siste hjemmekamper i Premier League #2pl #arsenor #arswes #fotballblogg1 pic.twitter.com/K68zExxsQL";;;#2pl #arsenor #arswes #fotballblogg1;"912378682743955456";https://twitter.com/fotballblogg1_/status/912378682743955456
poa_kenya;2017-09-25 12:00;0;2;"Monday Night football Arsenal vs West Bromwich Albion #ARSWES #coyg pic.twitter.com/Q4RIMTxzor";;;#ARSWES #coyg;"912285698253836288";https://twitter.com/poa_kenya/status/912285698253836288
winthissupercar;2017-09-25 10:09;0;0;"Arsenal vs West Brom Prediction https:// sites.google.com/site/latestfoo tballpredictions/classroom-news/arsenalvswestbromprediction … #arsenal #westbrom #bettingtips #arswes #afcvwba #arswba #freebets";;;#arsenal #westbrom #bettingtips #arswes #afcvwba #arswba #freebets;"912257854299623426";https://twitter.com/winthissupercar/status/912257854299623426
rehnato11;2017-09-25 08:13;0;1;"Quote with prediction of tonight's game #ARSWES #AFC";;;#ARSWES #AFC;"912228508549697541";https://twitter.com/rehnato11/status/912228508549697541
